Country or Area,Year,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross Domestic Product (GDP),Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services
Afghanistan,1970,171111114.3,1691108977,114007051.6,95555562.25,1748886597,95555562.25,1577101926,208888901.5
Afghanistan,1971,199999990.8,1826664360,123145593.3,99999984.27,1831108982,99999984.27,1703518767,295555553
Afghanistan,1972,235555544.7,1544444495,104119572.7,104444450.7,1595555482,104444450.7,1440324923,288888875.5
Afghanistan,1973,224444445.2,1637777780,110411681.5,126666649.7,1733333275,126666649.7,1527366076,255555554.9
Afghanistan,1974,302222230.5,1984444453,133782409.5,188888891.3,2155555500,188888891.3,1850662043,320000007.4
Afghanistan,1975,299999997.2,2173333411,146516476.9,231111100.4,2366666613,231111100.4,2026816934,337777784.4
Afghanistan,1976,337777784.4,2248888963,151610077.1,348888883.9,2555555571,348888883.9,2097278863,380000015.8
Afghanistan,1977,344444461.9,2680000054,180673670.8,366666660.8,2953333408,366666660.8,2499326383,437777790.9
Afghanistan,1978,357777772.4,2942222153,198351555.4,457777778.8,3300000103,457777778.8,2743870598,457777778.8
Afghanistan,1979,440326651.5,3302299763,222626329.3,492313911,3697940356,492313911,3079673434,537000038.5
Afghanistan,1980,417730004.1,3267891073,220306675.2,480714719.4,3641723443,480714719.4,3047584398,524612443.8
Afghanistan,1981,396811030.5,3109967280,209660256.6,468307978.6,3478787916,468307978.6,2900307024,496298514.9
Afghanistan,1982,398734137.4,3077042975,207440362.5,458233728.9,3438884594,458233728.9,2869602593,495126346.8
Afghanistan,1983,390619627.8,3043752184,205196313.5,453112147.7,3399439011,453112147.7,2838555870,488045046.8
Afghanistan,1984,386363519.3,3006622795,202693513.5,449357823.6,3360445864,449357823.6,2803929301,481898373.1
Afghanistan,1985,382937176.6,2972943050,200421642.3,443208634.9,3321900002,443208634.9,2772521428,477188959.2
Afghanistan,1986,382043355.4,2971971383,200357906.7,443222824.7,3320599991,443222824.7,2771613476,476637670.3
Afghanistan,1987,332354074.6,2583997230,174202682.9,385593521.4,2887499993,385593521.4,2409794547,414444932.3
Afghanistan,1988,306776424.5,2384418638,160742953.4,355627062.4,2664299991,355627062.4,2223675684,382522193.1
Afghanistan,1989,384683692.2,2991104595,201653134.1,446177274.6,3342200002,446177274.6,2789451461,479765659.1
Afghanistan,1990,416898390.1,3241081960,218502060,483502407.7,3621600007,483502407.7,3022579920,519882869.3
Afghanistan,1991,461897832,3116502075,210076184,442107005.7,3340100005,442107005.7,2906425891,680406236
Afghanistan,1992,561018723.7,3374469265,227536300.5,455942647.2,3474600007,455942647.2,3146932965,916829088
Afghanistan,1993,491946880.6,2689199276,181286255.9,346584719.2,2664399992,346584719.2,2507913020,863329065.9
Afghanistan,1994,439437605,2214902251,149243565.8,272652408.7,2114600000,272652408.7,2065658685,812390323.3
Afghanistan,1995,747538111.2,3513193826,237112515.6,413587068,3236300000,413587068,3276081312,1438015267
Afghanistan,1996,794085994.8,3510793694,236503254.6,395714134.5,3124359411,395714134.5,3274290439,1576230062
Afghanistan,1997,836519425.1,3504356401,235801325.3,378582800.1,3016290743,378582800.1,3268555076,1703162969
Afghanistan,1998,875067343.2,3494164103,236985967.9,362163145.5,2911960069,362163145.5,3257178135,1819429088
Afghanistan,1999,880413092.2,3367516249,225564374.1,335182278.6,2719992175,335182278.6,3141951875,1863113723
Afghanistan,2000,1225051538,4507324223,302253875.2,431196567.1,3531869351,431196567.1,4205070348,2631694710
Afghanistan,2001,1221288589,4646550220,322606711.4,492265004.8,3620525250,492265004.8,4323943509,2739568899
Afghanistan,2002,1270930749,5092313226,328248312.6,483993821.8,4285170218,483993821.8,4764064913,2562046421
Afghanistan,2003,2007085179,6696607062,450589812.6,579192066.2,4935549827,579192066.2,6246017249,4347334480
Afghanistan,2004,1724829365,7291017276,558069298.8,992239312.9,5586984096,992239312.9,6732947977,4421101858
Afghanistan,2005,1723804300,8328424128,664355337,1444097005,6621833827,1444097005,7664068791,4874471401
Afghanistan,2006,1867929535,9033290165,808126843.2,1841009333,7514261673,1841009333,8225163322,5227947329
Afghanistan,2007,1749488990,12408185811,1072814958,1949841186,10380165236,1949841186,11335370853,5727370766
Afghanistan,2008,1859059029,13276221189,1087232216,1949646788,10768480570,1949646788,12188988973,4986087979
Afghanistan,2009,1797595628,13813174367,1426726279,2186825633,12572598112,2186825633,12386448087,5157675112
Afghanistan,2010,1575029577,17907404303,2252604012,2807687627,16077921038,2807687627,15654800291,7061907872
Afghanistan,2011,1118745403,19874298804,2350610345,3033178098,19170467659,3033178098,17523688459,8095534202
Afghanistan,2012,1152050022,20510158794,2576048577,3503713566,21330874642,3503713566,17934110217,10615124486
Afghanistan,2013,1323226942,19929411765,2518965284,3614753284,21610365221,3614753284,17410446481,10437813191
Afghanistan,2014,1362382637,19633992751,2621337176,3745089305,21330660728,3745089305,17012655574,9495191930
Afghanistan,2015,1418042057,19566147710,2490307159,3922627113,20608090681,3922627113,17075840551,9987756411
Afghanistan,2016,1355360324,18943305562,2424112105,3479985582,20235070056,3479985582,16519193457,9635180703
Afghanistan,2017,1632104261,18910488686,2560560448,3904881511,21515502135,3904881511,16349928238,10934306214
Afghanistan,2018,1670110667,18736420082,2544710556,4516000773,20513883243,4516000773,16191709526,8786299519
Albania,1970,508501251,1518291365,205730581.6,824850020.4,2265577056,767056788.6,1312560783,504595819.6
Albania,1971,523137162.4,1561968405,211681441.4,848318607.2,2330584860,789243724.2,1350286963,519031884.6
Albania,1972,538480501.6,1606908267,217744245.4,872343965,2397526448,811525122,1389164022,533991647.2
Albania,1973,553185620,1652656555,223896668.6,898790644.4,2466543461,835122162.2,1428759886,549392880.2
Albania,1974,569621270.4,1700683918,230586803.2,922806966.8,2537015817,859729578.8,1470097115,564865686.4
Albania,1975,587262561,1749635603,236994563,948579365.4,2610110369,882213854.8,1512641040,581508041.6
Albania,1976,599747151.2,1797864494,243416373.8,983026379.2,2685745678,910110110.8,1554448120,598313394.8
Albania,1977,621912219.6,1853301729,251878342.6,998756167.8,2760746397,937984399.6,1601423386,613947754.6
Albania,1978,643516286.2,1905109255,257304793.6,1030292284,2842275926,953218827.8,1647804462,634434146.8
Albania,1979,517741715.9,1581494846,213827205.6,886743468.7,2372305641,810074209.6,1367667641,528366687.8
Albania,1980,495098222.9,1450000000,199285714.3,747571428.6,2141837051,733428571.4,1250714286,473812508.6
Albania,1981,509174644.3,1478142857,195857142.9,807857142.9,2215474766,713857142.9,1282285714,500031787.1
Albania,1982,441832335.3,1495428571,202857142.9,929714285.7,2280424885,820428571.4,1292571429,504546621
Albania,1983,419501685.7,1569428571,209571428.6,851857142.9,2305384485,836142857.1,1359857143,452501685.7
Albania,1984,396275855.1,1626571429,221857142.9,747857142.9,2275736342,871285714.3,1404714286,413132998
Albania,1985,377381356.7,1635571429,224000000,810285714.3,2324414456,799142857.1,1411571429,415238499.6
Albania,1986,360941472.4,1708142857,230285714.3,779428571.4,2397086883,779428571.4,1477857143,365227186.7
Albania,1987,367818672.9,1778285714,237571428.6,688142857.1,2378194810,786000000,1540714286,370532958.6
Albania,1988,403069861.4,1854872543,241079457.5,745277352.8,2460399974,812293843.8,1613793085,454344223.6
Albania,1989,527545704.7,2126753631,268352360.4,966721026.1,2940586487,954975512.4,1858401270,574690891.4
Albania,1990,319064795.1,1843455660,226762764,543172848.2,2145774521,768216710.9,1616692896,482889322.6
Albania,1991,115387866.4,1805241923,352651936.9,117211491.6,1597156849,117211491.6,1452589986,440684431.7
Albania,1992,174212182.4,2605074653,298376521.1,78839639.12,1516149180,78839639.12,2306698132,1341977730
Albania,1993,262250735.1,2272978378,240251243.4,224458057.4,1700439874,224458057.4,2032727135,1059247285
Albania,1994,213519656.1,2063377327,260552685.8,336690188.5,1880950821,336690188.5,1802824642,732636454.2
Albania,1995,298506374.9,2489352955,326519873.7,502480625.8,2392764887,502480625.8,2162833081,825792159.9
Albania,1996,400376915,3643259087,299411530.8,450950920.6,3199642024,675606976.4,3343847556,1158531989
Albania,1997,244393484.9,2573613752,231948131.1,379550275.5,2224654241,458903515.7,2341665620,867339328
Albania,1998,317812211.1,2865071321,273803293.6,559126614,2554868837,550243260.7,2591268027,1026883225
Albania,1999,584401740.5,3267475751,335465679.4,782952373.5,3221670165,758481882.3,2932010072,1204030662
Albania,2000,701537987.6,3223479775,338032707.4,1112769978,3487586302,1112769978,2885447068,1511477625
Albania,2001,837739336.2,3488471414,417269473.2,1442319479,3926887597,1442319479,3071201941,1773289312
Albania,2002,912362528.1,3979945031,493743161.4,1570529467,4355865889,1570529467,3486201870,2072496174
Albania,2003,1159419725,5084782368,617234727.8,1996225919,5561459461,1996225919,4467547640,2567904223
Albania,2004,1594562079,6345593791,804249003.1,2712609879,7177030365,2712609879,5541344788,3217437848
Albania,2005,1853023789,7083953083,888246111.6,3053335653,8052079314,3053335653,6195706972,3853672263
Albania,2006,2242665597,7841922747,936515640.3,3386757736,8896076004,3386757736,6905407106,4364190387
Albania,2007,3016116399,9849229315,1118710206,3884917106,10677322220,3884917106,8730519109,5867639991
Albania,2008,3259293794,12040547080,1336949968,4608744943,12881352058,4373128772,10703597112,6717539632
Albania,2009,3040047675,11077313842,1338043093,4162218022,12044210390,3939528396,9739270749,6004538213
Albania,2010,3337093931,10646796394,1330733084,3614900557,11926948284,3390650246,9316063310,5792199783
Albania,2011,3769489314,11508145916,1414665683,4049484804,12890873323,3785563635,10093480232,6700292885
Albania,2012,3565034751,10941405442,1336057425,3490014921,12319779604,3263346644,9605348017,5860853444
Albania,2013,3694430559,11633428651,1408648401,3584066659,12776280738,3331998360,10224780250,5999410693
Albania,2014,3732084593,12201629049,1514881006,3396310872,13228240079,3195768146,10686748043,6243048904
Albania,2015,3104918419,10453814891,1265160158,2939996712,11386924853,2779946759,9188654733,5071011003
Albania,2016,3437171634,10939772770,1336693554,2991887689,11861356451,2890366950,9603079216,5436292088
Albania,2017,4110274876,11879926131,1493034872,3262669637,13025068581,3195227687,10386891259,6070289768
Albania,2018,4792564234,13604928315,1682871437,3557063002,15058883770,3644984331,11922056878,6895671782
Algeria,1970,1140783357,3761949657,686291181.2,1707118032,5155120658,1580951884,3075658475,1422482735
Algeria,1971,986534285,4073370778,789525745.6,1742067720,5363676160,1624247817,3283845033,1409560405
Algeria,1972,1460328062,5240731774,1012732211,2244082459,7176428384,2094509063,4227999563,1734974761
Algeria,1973,2344366326,6286330268,1135331755,3387806896,9229622200,2997400725,5150998513,2762591632
Algeria,1974,5108013455,7575204729,1418219129,5262360793,13259764650,4057643557,6156985600,4693985906
Algeria,1975,5233153976,9987282720,2018351761,7024899232,15555547083,6070527154,7968930959,6702778245
Algeria,1976,5838077775,10856084098,2220636673,7641632494,17750032488,7531053206,8635447425,6596991823
Algeria,1977,6389292999,13561822338,2794816662,9809221484,20990939140,9268199816,10767005675,8786165938
Algeria,1978,6714630548,16517764413,3681015846,13726504134,26373761387,12806671863,12836748567,10607537539
Algeria,1979,10333857716,19724272699,4536578704,14078595559,33201433009,13073317905,15187693995,10950911501
Algeria,1980,14509037876,24124538112,5824656461,16494804238,42252197741,14301418475,18299881651,12892043835
Algeria,1981,15300630155,26319048574,6106614145,16357841155,44264573122,14607918200,20212434430,13726314621
Algeria,1982,13954110635,27499420402,6676797909,16785532144,45094842770,15567288335,20822622493,13152171129
Algeria,1983,13614779000,29432572720,7244880786,18276620517,48702201863,16772253649,22187691933,12623295026
Algeria,1984,13552508626,33166021272,7899758337,18505370860,52827902259,17554762673,25266262935,12386365606
Algeria,1985,13619701354,36945989457,9138530153,19181139939,57866207279,18450408397,27807459304,11858902040
Algeria,1986,8214625194,44533265751,11248340543,23081616935,62922803868,21549582288,33284925208,10832865515
Algeria,1987,9429762060,43916010359,11958997464,19292503244,64333578322,19151527994,31957012896,8246746872
