Country or Area,Year,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)"
Afghanistan,1970,878687780.1,47265585.44,373877624,380487566.1,129035465.8,1748905464,84762562.77,228666503.9
Afghanistan,1971,920010935.6,49487974.24,391455705.1,398376435.9,135102277.9,1831128738,88745457.54,239405657
Afghanistan,1972,801641220.4,43120173.88,341093078,347123422.2,117719981.4,1595572638,77327147.32,208640692.8
Afghanistan,1973,870871218,46846637.47,370557974.6,377109248.1,127890270.2,1733352009,84015069.98,226619565.7
Afghanistan,1974,1083067657,58257347.43,460817996.2,468964992.1,159041625.8,2155578723,104462406.9,281784693.9
Afghanistan,1975,1188976426,63952146.48,505912883.6,514857174,174600258.5,2366691969,114688897.7,309617066.7
Afghanistan,1976,1284009992,69081948.01,546384920.4,556044680.3,188578613.8,2555583550,123915464.6,333952850.7
Afghanistan,1977,1484165633,79815900.98,631351401.5,642513347.2,217897527.5,2953364853,143050777.9,385921667.2
Afghanistan,1978,1657178880,89127515.34,705273940.9,717742932.3,243383084.9,3300034860,159900189.1,432702257.9
Afghanistan,1979,1858590479,100074311.7,791038061.2,805022956.4,273064175.7,3697983575,179624943,481606709.1
Afghanistan,1980,1831206025,98350531.45,778218342.8,791976885,268562243,3641758885,175830580.4,475832619.5
Afghanistan,1981,1743165590,93775023.59,742894778.2,756029323.1,256279528.2,3478823324,168746372.2,460827486.8
Afghanistan,1982,1732784851,93619203.75,737621803,750661311.2,254861204.3,3438936748,168276600.5,438733577.8
Afghanistan,1983,1711812673,91240311.8,724219307.9,737023932.8,249712488.5,3399452055,161153837.8,448508811.6
Afghanistan,1984,1666160273,90077380.54,716159227,728822566.6,246787947.4,3360484678,165274171,463362339.6
Afghanistan,1985,1701699993,93099994.95,721942844.5,734699999.4,250599998.1,3321999983,166799996.7,375100000.9
Afghanistan,1986,1668899994,85299993.4,692942341.7,705200006.4,237399994,3320499991,142200002.4,481500000.7
Afghanistan,1987,1364599992,77100008.49,616004488.6,626899988.6,211900012.5,2887600013,157400002.4,449700009.6
Afghanistan,1988,1632400005,63700002.79,447692760.8,455600016.1,147399983.7,2664200010,122100003.8,242999998.2
Afghanistan,1989,2262900002,79300005.89,511180785.6,520200006.1,173000005.5,3342100021,151899999,154800001.9
Afghanistan,1990,1294399997,112500007.9,732752118.6,745700006.1,241399985.7,3621599987,220299999,1007299991
Afghanistan,1991,1660000003,106399999.9,665367897.3,677200005.4,227399995.1,3340100005,212799999.7,456300001.8
Afghanistan,1992,1926500007,134900004.8,413293895.6,420600000,257700014,3474600027,252999997.1,481900003.9
Afghanistan,1993,1691399991,103900000.1,273798558.5,278599999.2,177400000.3,2664399992,86600003.54,326499997.3
Afghanistan,1994,1549800000,76500000.08,170408930.2,173400001,119899999.7,2114600000,57299999.46,137700000.1
Afghanistan,1995,2125800000,164600000.4,172725170.4,175800000,245499999.6,3236299999,212499999.6,312099999.6
Afghanistan,1996,1994876365,164479824.5,209795831.4,213644776.8,234909015.4,3078205867,215133892.6,255161992.7
Afghanistan,1997,1872016047,164359737.1,255258047.7,259636465.9,224784006.8,2947208167,217800431.6,208611478.9
Afghanistan,1998,1756722442,164239737,310306407.4,315528867.3,215104011.5,2842648494,220500022,170553414.5
Afghanistan,1999,1595022291,158792896.2,364579112.5,371007366.5,199167677.8,2674890351,215987473.1,134912646
Afghanistan,2000,2013191557,213421729.4,595092660,606430036,256366345.7,3531869351,294105553.9,148354129
Afghanistan,2001,1927812146,229567300,698865220.6,713594739.8,237864913.3,3620525250,344350950,167335200.6
Afghanistan,2002,1849755623,184076338.8,725472356.8,733618263.8,603812741.5,4230793678,428961344,430569367.2
Afghanistan,2003,2026239142,251011255.5,768250298.6,779939548.2,666722447.8,4825429352,636387359.6,465129598.6
Afghanistan,2004,1859220796,432936873.4,916453414.3,936309068.9,905935040.9,5433400506,782584500.8,516414225.5
Afghanistan,2005,2266792856,608854330,1033446125,1060539991,1147720872,6431004567,765497688.9,581598830.1
Afghanistan,2006,2453884590,788597678.6,1142305901,1178079324,1270203657,7282662563,950739819,641157493.9
Afghanistan,2007,3489510788,830630984.3,1724289847,1781193074,1677420056,10116050416,1439613595,897681919.2
Afghanistan,2008,2987744299,870474335.4,1828451829,1888312985,1959082796,10483307354,1820531371,957161567.2
Afghanistan,2009,3911435668,992627918.5,1598350720,1668912072,2264711990,12139764150,2312250373,989826130.2
Afghanistan,2010,4462626856,1238944046,1957764950,2067834468,3294939429,15490181356,3141125289,1284711266
Afghanistan,2011,5171304254,1394720286,2506491980,2741801159,3904257798,18475693125,3731105122,1532504506
Afghanistan,2012,5416563567,1595694541,2569646553,2780167081,4090339476,20518010357,4763812464,1871433228
Afghanistan,2013,5331948896,1695056657,2365310821,2547568959,4052154877,20756393963,5303543858,1826120717
Afghanistan,2014,5136259225,1877287218,2373710642,2540442814,4275209793,20598577625,5032778724,1736599852
Afghanistan,2015,4482948677,2032596730,2296795053,2452936033,4017617634,19782328622,5043580985,1752648563
Afghanistan,2016,4663743259,1868075911,2229965060,2397103032,3987857427,19373937059,4886181312,1570976119
Afghanistan,2017,5090177257,2055569071,2249227744,2465127618,3992867908,20530339592,5157180159,1769417580
Afghanistan,2018,4195836332,2400089881,2181688633,2414476050,3923202977,19633873334,5037310258,1662957836
Albania,1970,864793401.8,239349639.2,394647786,794665515.2,188952170.6,2345798397,45739633.4,212298036.4
Albania,1971,889758994.6,246266478.4,406050295,817625693.8,194253683.6,2413182393,47022972.6,218254569.8
Albania,1972,915350702.4,253312262.2,417663129.6,841009276.8,199867590.8,2482483855,48381940.6,224562082.2
Albania,1973,941147591.8,260505787.2,429539992,864924791.4,205932185.8,2553736359,49849968.6,231376034.4
Albania,1974,969063811,268239524.8,442272785.4,890563576.8,211067032,2627172195,51092986.4,237145264.4
Albania,1975,996627620.4,275682329,454532594.8,915249547,217701614.4,2702559685,52699054.8,244599519.8
Albania,1976,1022980841,283335183.8,467235377.4,940829093,225249517,2780000928,54526019.6,253080273.6
Albania,1977,1057872940,292843797.8,482777882.2,972124733,227235454.6,2860395091,55006962,255311202.8
Albania,1978,1084112844,299271167.6,493385986.6,993483439.2,238873997.2,2941953465,57824371.2,268387645.6
Albania,1979,896897900.2,249378662.8,411464971.4,828532376.2,202245990.4,2453247358,48957155.7,227235272.9
Albania,1980,835437843.4,230908941.4,380354207.4,765881710.4,166275408.9,2225573162,40250836,186818421.9
Albania,1981,833341567.9,228080357,376047385,757205752.7,197719081.1,2286356598,47862121,222147717.7
Albania,1982,839214356,238543429.6,394549214,794485918.9,202688855.7,2351731170,49062505.71,227736104.1
Albania,1983,912584018.7,240076335.1,393467139,792268727.4,189004265.4,2392038998,45756103.29,212349547.6
Albania,1984,874483025.1,239213923.4,395515948.6,796395710.3,189062501.3,2357344601,45765497.57,212423943.1
Albania,1985,933658741.6,238587135.6,398412054.7,802339998.1,186354677.6,2415437990,45101359.43,209396078.1
Albania,1986,946140414.7,260210441.9,415027345.7,835559339.3,189580517,2490368765,45913858.71,212964193.1
