Country or Area,Subgroup,Year,Primary Enrollment Value
United Arab Emirates,Male,1970,0
United Arab Emirates,Male,1971,93.91656
United Arab Emirates,Male,1972,102.64079
United Arab Emirates,Male,1973,100.76024
United Arab Emirates,Male,1974,94.96389
United Arab Emirates,Male,1975,91.88519
United Arab Emirates,Male,1976,99.1653
United Arab Emirates,Male,1977,102.00258
United Arab Emirates,Male,1978,99.36172
United Arab Emirates,Male,1979,94.35532
United Arab Emirates,Male,1980,92.53267
United Arab Emirates,Male,1981,90.4425
United Arab Emirates,Male,1982,94.67406
United Arab Emirates,Male,1983,95.29551
United Arab Emirates,Male,1984,96.00035
United Arab Emirates,Male,1985,95.69688
United Arab Emirates,Male,1986,95.75512
United Arab Emirates,Male,1987,97.79451
United Arab Emirates,Male,1988,101.47641
United Arab Emirates,Male,1989,106.31896
United Arab Emirates,Male,1990,109.98462
United Arab Emirates,Male,1991,109.91398
United Arab Emirates,Male,1992,104.38485
United Arab Emirates,Male,1993,100.81254
United Arab Emirates,Male,1994,101.17438
United Arab Emirates,Male,1995,102.08444
United Arab Emirates,Male,1996,98.71231
United Arab Emirates,Male,1997,94.74472
United Arab Emirates,Male,1998,90.79261
United Arab Emirates,Male,1999,0
United Arab Emirates,Male,2000,0
United Arab Emirates,Male,2001,0
United Arab Emirates,Male,2002,0
United Arab Emirates,Male,2003,0
United Arab Emirates,Male,2004,0
United Arab Emirates,Male,2005,0
United Arab Emirates,Male,2006,0
United Arab Emirates,Male,2007,101.12369
United Arab Emirates,Male,2008,0
United Arab Emirates,Male,2009,0
United Arab Emirates,Male,2010,0
United Arab Emirates,Male,2011,0
United Arab Emirates,Male,2012,99.05749
United Arab Emirates,Male,2013,97.36524
United Arab Emirates,Male,2014,102.14638
United Arab Emirates,Male,2015,111.4482
United Arab Emirates,Male,2016,110.59621
United Arab Emirates,Male,2017,109.43032
United Arab Emirates,Male,2018,0
Belgium,Male,1970,0
Belgium,Male,1971,109.01056
Belgium,Male,1972,107.83959
Belgium,Male,1973,100.74033
Belgium,Male,1974,103.64514
Belgium,Male,1975,104.04535
Belgium,Male,1976,104.85562
Belgium,Male,1977,105.29582
Belgium,Male,1978,105.13108
Belgium,Male,1979,104.10623
Belgium,Male,1980,104.26874
Belgium,Male,1981,103.66424
Belgium,Male,1982,102.95121
Belgium,Male,1983,99.42584
Belgium,Male,1984,98.43192
Belgium,Male,1985,97.76149
Belgium,Male,1986,98.31717
Belgium,Male,1987,99.20808
Belgium,Male,1988,100.34394
Belgium,Male,1989,100.68074
Belgium,Male,1990,100.17272
Belgium,Male,1991,99.14735
Belgium,Male,1992,97.96965
Belgium,Male,1993,102.60664
Belgium,Male,1994,102.08865
Belgium,Male,1995,102.10333
Belgium,Male,1996,102.29454
Belgium,Male,1997,0
Belgium,Male,1998,0
Belgium,Male,1999,104.22233
Belgium,Male,2000,105.11682
Belgium,Male,2001,104.39378
Belgium,Male,2002,103.51315
Belgium,Male,2003,102.79345
Belgium,Male,2004,100.97505
Belgium,Male,2005,100.68205
Belgium,Male,2006,101.01987
Belgium,Male,2007,101.68722
Belgium,Male,2008,102.27424
Belgium,Male,2009,102.29118
Belgium,Male,2010,102.04114
Belgium,Male,2011,102.04789
Belgium,Male,2012,102.46356
Belgium,Male,2013,103.75601
Belgium,Male,2014,103.66256
Belgium,Male,2015,103.24168
Belgium,Male,2016,103.37549
Belgium,Male,2017,103.85522
Belgium,Male,2018,0
Bangladesh,Male,1970,75.01241
Bangladesh,Male,1971,69.5763
Bangladesh,Male,1972,82.69713
Bangladesh,Male,1973,98.29336
Bangladesh,Male,1974,98.41187
Bangladesh,Male,1975,103.40944
Bangladesh,Male,1976,104.79487
