Country or Area,Subgroup,Year,Value
United Arab Emirates,Male,1970,0
United Arab Emirates,Male,1971,0
United Arab Emirates,Male,1972,0
United Arab Emirates,Male,1973,22.79714
United Arab Emirates,Male,1974,17.78908
United Arab Emirates,Male,1975,20.93576
United Arab Emirates,Male,1976,31.44927
United Arab Emirates,Male,1977,31.54162
United Arab Emirates,Male,1978,31.69754
United Arab Emirates,Male,1979,37.42975
United Arab Emirates,Male,1980,45.48929
United Arab Emirates,Male,1981,55.07857
United Arab Emirates,Male,1982,56.83372
United Arab Emirates,Male,1983,60.67589
United Arab Emirates,Male,1984,65.9758
United Arab Emirates,Male,1985,68.47646
United Arab Emirates,Male,1986,68.98901
United Arab Emirates,Male,1987,57.76993
United Arab Emirates,Male,1988,53.97491
United Arab Emirates,Male,1989,53.74967
United Arab Emirates,Male,1990,55.89851
United Arab Emirates,Male,1991,60.70388
United Arab Emirates,Male,1992,63.49744
United Arab Emirates,Male,1993,67.97635
United Arab Emirates,Male,1994,74.55598
United Arab Emirates,Male,1995,79.6336
United Arab Emirates,Male,1996,0
United Arab Emirates,Male,1997,75.29597
United Arab Emirates,Male,1998,74.74735
United Arab Emirates,Male,1999,0
United Arab Emirates,Male,2000,0
United Arab Emirates,Male,2001,0
United Arab Emirates,Male,2002,0
United Arab Emirates,Male,2003,0
United Arab Emirates,Male,2004,0
United Arab Emirates,Male,2005,0
United Arab Emirates,Male,2006,0
United Arab Emirates,Male,2007,0
United Arab Emirates,Male,2008,0
United Arab Emirates,Male,2009,0
United Arab Emirates,Male,2010,0
United Arab Emirates,Male,2011,0
United Arab Emirates,Male,2012,0
United Arab Emirates,Male,2013,0
United Arab Emirates,Male,2014,0
United Arab Emirates,Male,2015,0
United Arab Emirates,Male,2016,97.33269
United Arab Emirates,Male,2017,109.28052
United Arab Emirates,Male,2018,0
Belgium,Male,1970,0
Belgium,Male,1971,82.84583
Belgium,Male,1972,84.7564
Belgium,Male,1973,85.05184
Belgium,Male,1974,85.38705
Belgium,Male,1975,84.17944
Belgium,Male,1976,83.81267
Belgium,Male,1977,84.20302
Belgium,Male,1978,86.03346
