Country or Area,Subgroup,Year,Value
Bangladesh,Male,1970,3.75936
Bangladesh,Male,1971,0
Bangladesh,Male,1972,4.28438
Bangladesh,Male,1973,0
Bangladesh,Male,1974,5.9441
Bangladesh,Male,1975,0
Bangladesh,Male,1976,4.83935
Bangladesh,Male,1977,5.11217
Bangladesh,Male,1978,4.0438
Bangladesh,Male,1979,5.67669
Bangladesh,Male,1980,5.46249
Bangladesh,Male,1981,5.20223
Bangladesh,Male,1982,5.82668
Bangladesh,Male,1983,7.42593
Bangladesh,Male,1984,8.04357
Bangladesh,Male,1985,8.04699
Bangladesh,Male,1986,7.843
Bangladesh,Male,1987,6.89072
Bangladesh,Male,1988,6.1027
Bangladesh,Male,1989,6.02739
Bangladesh,Male,1990,6.91299
Bangladesh,Male,1991,0
Bangladesh,Male,1992,0
Bangladesh,Male,1993,0
Bangladesh,Male,1994,0
Bangladesh,Male,1995,0
Bangladesh,Male,1996,0
Bangladesh,Male,1997,0
Bangladesh,Male,1998,0
Bangladesh,Male,1999,7.50031
Bangladesh,Male,2000,7.4866
Bangladesh,Male,2001,8.63469
Bangladesh,Male,2002,8.46487
Bangladesh,Male,2003,8.52506
Bangladesh,Male,2004,7.90937
Bangladesh,Male,2005,8.41769
Bangladesh,Male,2006,9.41337
Bangladesh,Male,2007,10.16529
Bangladesh,Male,2008,11.40082
Bangladesh,Male,2009,13.53788
Bangladesh,Male,2010,0
Bangladesh,Male,2011,16.13323
Bangladesh,Male,2012,15.994
Bangladesh,Male,2013,0
Bangladesh,Male,2014,15.92644
Bangladesh,Male,2015,0
Bangladesh,Male,2016,20.95333
Bangladesh,Male,2017,21.27599
Bangladesh,Male,2018,24.01696
Bangladesh,Female,1970,0.42594
Bangladesh,Female,1971,0
Bangladesh,Female,1972,0.54027
Bangladesh,Female,1973,0
Bangladesh,Female,1974,0.69742
Bangladesh,Female,1975,0
Bangladesh,Female,1976,0.70802
Bangladesh,Female,1977,0.83375
Bangladesh,Female,1978,0.67366
Bangladesh,Female,1979,0.9531
Bangladesh,Female,1980,0.92303
Bangladesh,Female,1981,0.88194
Bangladesh,Female,1982,1.66224
Bangladesh,Female,1983,1.7681
Bangladesh,Female,1984,1.86377
Bangladesh,Female,1985,2.00541
Bangladesh,Female,1986,1.9593
Bangladesh,Female,1987,1.60818
Bangladesh,Female,1988,1.19932
Bangladesh,Female,1989,1.19554
Bangladesh,Female,1990,1.36847
Bangladesh,Female,1991,0
Bangladesh,Female,1992,0
Bangladesh,Female,1993,0
Bangladesh,Female,1994,0
Bangladesh,Female,1995,0
Bangladesh,Female,1996,0
Bangladesh,Female,1997,0
Bangladesh,Female,1998,0
Bangladesh,Female,1999,3.70027
Bangladesh,Female,2000,3.70686
Bangladesh,Female,2001,4.59011
Bangladesh,Female,2002,4.14112
Bangladesh,Female,2003,4.17331
Bangladesh,Female,2004,3.78948
Bangladesh,Female,2005,4.39797
Bangladesh,Female,2006,5.22811
Bangladesh,Female,2007,5.62739
Bangladesh,Female,2008,6.31145
Bangladesh,Female,2009,8.11878
Bangladesh,Female,2010,0
Bangladesh,Female,2011,11.19707
Bangladesh,Female,2012,11.55667
Bangladesh,Female,2013,0
Bangladesh,Female,2014,11.74298
Bangladesh,Female,2015,0
Bangladesh,Female,2016,14.68115
Bangladesh,Female,2017,14.91033
Bangladesh,Female,2018,16.98329
Belgium,Male,1970,0
Belgium,Male,1971,21.50247
Belgium,Male,1972,21.7954
Belgium,Male,1973,23.45389
Belgium,Male,1974,24.17818
Belgium,Male,1975,24.11386
Belgium,Male,1976,0
Belgium,Male,1977,0
Belgium,Male,1978,27.64248
Belgium,Male,1979,29.27138
Belgium,Male,1980,28.19568
Belgium,Male,1981,26.7025
Belgium,Male,1982,28.76091
Belgium,Male,1983,29.06014
Belgium,Male,1984,29.88159
Belgium,Male,1985,33.03968
Belgium,Male,1986,33.63099
Belgium,Male,1987,34.21866
Belgium,Male,1988,35.03282
Belgium,Male,1989,37.17574
Belgium,Male,1990,38.31814
Belgium,Male,1991,39.58183
Belgium,Male,1992,0
Belgium,Male,1993,44.87118
Belgium,Male,1994,47.54008
Belgium,Male,1995,52.95236
Belgium,Male,1996,54.39975
Belgium,Male,1997,0
Belgium,Male,1998,0
Belgium,Male,1999,52.82192
Belgium,Male,2000,54.23755
Belgium,Male,2001,54.20781
Belgium,Male,2002,54.4196
Belgium,Male,2003,54.58419
Belgium,Male,2004,55.16501
Belgium,Male,2005,54.53783
Belgium,Male,2006,54.7231
Belgium,Male,2007,54.15079
Belgium,Male,2008,54.93643
Belgium,Male,2009,58.13866
Belgium,Male,2010,59.95715
Belgium,Male,2011,61.60891
Belgium,Male,2012,62.49104
