Country or Area,Subgroup,Year,Value
Afghanistan,Female,2005,1541255
Afghanistan,Female,2004,1290341
Afghanistan,Female,2003,1314468
Afghanistan,Female,2002,805074
Afghanistan,Female,2001,-
Afghanistan,Female,2000,-
Afghanistan,Female,1999,64110
Afghanistan,Male,2005,2777564
Afghanistan,Male,2004,3139801
Afghanistan,Male,2003,2466547
Afghanistan,Male,2002,1862555
Afghanistan,Male,2001,773623
Afghanistan,Male,2000,749360
Afghanistan,Male,1999,893293
Albania,Female,2004,120767
Albania,Female,2003,121614
Albania,Female,2002,126051
Albania,Female,2001,133222
Albania,Female,2000,136723
Albania,Female,1999,140610
Albania,Male,2004,129720
Albania,Male,2003,131215
Albania,Male,2002,137552
Albania,Male,2001,141011
Albania,Male,2000,146526
Albania,Male,1999,151460
Algeria,Female,2005,2049927
Algeria,Female,2004,2119454
Algeria,Female,2003,2166045
Algeria,Female,2002,2204374
Algeria,Female,2001,2210114
Algeria,Female,2000,2264608
Algeria,Female,1999,2229152
Algeria,Male,2005,2311817
Algeria,Male,2004,2388249
Algeria,Male,2003,2446529
Algeria,Male,2002,2487496
Algeria,Male,2001,2510836
Algeria,Male,2000,2578705
Algeria,Male,1999,2549718
Andorra,Female,2005,1914
Andorra,Female,2004,2007
Andorra,Female,2003,1954
Andorra,Female,2002,1948
Andorra,Male,2005,2171
Andorra,Male,2004,2257
Andorra,Male,2003,2188
Andorra,Male,2002,2160
Angola,Female,1999,490755
Angola,Male,1999,566433
Anguilla,Female,2005,736
Anguilla,Female,2004,717
Anguilla,Female,2003,719
Anguilla,Female,2002,699
Anguilla,Female,2001,728
Anguilla,Female,2000,774
Anguilla,Female,1999,788
Anguilla,Male,2005,713
Anguilla,Male,2004,716
Anguilla,Male,2003,728
Anguilla,Male,2002,728
Anguilla,Male,2001,761
Anguilla,Male,2000,765
Anguilla,Male,1999,781
Antigua and Barbuda,Female,2000,8079
Antigua and Barbuda,Male,2000,4946
Argentina,Female,2004,2294732
Argentina,Female,2003,2290620
Argentina,Female,2002,2415579
Argentina,Female,2001,2406956
Argentina,Female,2000,2404380
Argentina,Female,1999,2373931
Argentina,Male,2004,2390800
Argentina,Male,2003,2384249
Argentina,Male,2002,2498862
Argentina,Male,2001,2493269
Argentina,Male,2000,2493844
Argentina,Male,1999,2446977
Armenia,Female,2005,60311
Armenia,Female,2003,65106
Armenia,Female,2002,69756
Armenia,Female,2001,75753
Armenia,Female,2000,81417
Armenia,Male,2005,64838
Armenia,Male,2003,69558
Armenia,Male,2002,74059
Armenia,Male,2001,79670
Armenia,Male,2000,85432
Aruba,Female,2005,4955
Aruba,Female,2004,4877
Aruba,Female,2003,4749
Aruba,Female,2002,4747
Aruba,Female,2001,4590
Aruba,Female,2000,4502
Aruba,Female,1999,4444
Aruba,Male,2005,5295
Aruba,Male,2004,5308
Aruba,Male,2003,5148
Aruba,Male,2002,5093
Aruba,Male,2001,4846
Aruba,Male,2000,4761
Aruba,Male,1999,4652
Australia,Female,2005,940230
Australia,Female,2004,940521
Australia,Female,2003,939251
Australia,Female,2002,939943
Australia,Female,2001,931146
Australia,Female,2000,926934
Australia,Female,1999,917694
Australia,Male,2005,994711
Australia,Male,2004,994028
Australia,Male,2003,992566
Australia,Male,2002,993822
Australia,Male,2001,983249
Australia,Male,2000,979017
Australia,Male,1999,967647
Austria,Female,2005,176597
Austria,Female,2004,181782
Austria,Female,2003,184455
Austria,Female,2002,187288
Austria,Female,2001,190130
Austria,Female,2000,190108
Austria,Female,1999,188453
Austria,Male,2005,186225
Austria,Male,2004,191181
Austria,Male,2003,195465
Austria,Male,2002,199196
Austria,Male,2001,202209
Austria,Male,2000,202299
Austria,Male,1999,200324
Azerbaijan,Female,2005,270875
Azerbaijan,Female,2004,290277
Azerbaijan,Female,2003,303489
Azerbaijan,Female,2002,321998
Azerbaijan,Female,2001,334312
Azerbaijan,Female,2000,342302
Azerbaijan,Female,1999,344079
Azerbaijan,Male,2005,297222
Azerbaijan,Male,2004,316730
Azerbaijan,Male,2003,332163
Azerbaijan,Male,2002,346904
Azerbaijan,Male,2001,359448
Azerbaijan,Male,2000,357834
Azerbaijan,Male,1999,363160
Bahamas,Female,2005,18182
Bahamas,Female,2004,17743
Bahamas,Female,2003,17075
Bahamas,Female,2002,16911
Bahamas,Female,2001,16735
Bahamas,Female,2000,16405
Bahamas,Female,1999,16463
Bahamas,Male,2005,18868
Bahamas,Male,2004,18327
Bahamas,Male,2003,17504
Bahamas,Male,2002,17242
Bahamas,Male,2001,17260
Bahamas,Male,2000,17240
Bahamas,Male,1999,17317
Bahrain,Female,2005,40581
Bahrain,Female,2004,40474
Bahrain,Female,2003,40051
Bahrain,Female,2002,39468
Bahrain,Female,2001,38792
Bahrain,Female,2000,38004
Bahrain,Female,1999,37175
Bahrain,Male,2005,42718
Bahrain,Male,2004,42234
Bahrain,Male,2003,41836
Bahrain,Male,2002,41589
Bahrain,Male,2001,40615
Bahrain,Male,2000,39716
Bahrain,Male,1999,39127
Bangladesh,Female,2004,8906867
Bangladesh,Female,2003,8617096
Bangladesh,Female,2002,8720181
Bangladesh,Female,2001,8669425
Bangladesh,Female,2000,8635287
Bangladesh,Female,1999,8556712
Bangladesh,Male,2004,9046433
Bangladesh,Male,2003,8845877
Bangladesh,Male,2002,8841647
Bangladesh,Male,2001,8989795
Bangladesh,Male,2000,9032698
Bangladesh,Male,1999,9065019
Barbados,Female,2005,10949
Barbados,Female,2004,10918
Barbados,Female,2003,11292
Barbados,Female,2002,11515
Barbados,Female,2001,11900
Barbados,Female,2000,11968
Barbados,Female,1999,12130
Barbados,Male,2005,11300
Barbados,Male,2004,11409
Barbados,Male,2003,11782
Barbados,Male,2002,11879
Barbados,Male,2001,12325
Barbados,Male,2000,12507
Barbados,Male,1999,12662
Belarus,Female,2005,181276
Belarus,Female,2004,192969
Belarus,Female,2003,211036
Belarus,Female,2002,247048
Belarus,Female,2001,271265
Belarus,Female,2000,290032
Belarus,Female,1999,305483
Belarus,Male,2005,198301
Belarus,Male,2004,210872
Belarus,Male,2003,225969
Belarus,Male,2002,264815
Belarus,Male,2001,289666
Belarus,Male,2000,309700
Belarus,Male,1999,326600
Belgium,Female,2005,360536
Belgium,Female,2004,364668
Belgium,Female,2003,370640
Belgium,Female,2002,373700
Belgium,Female,2001,375510
Belgium,Female,2000,376351
Belgium,Female,1999,370339
Belgium,Male,2005,378044
Belgium,Male,2004,382443
Belgium,Male,2003,391090
Belgium,Male,2002,394087
Belgium,Male,2001,396379
Belgium,Male,2000,397391
Belgium,Male,1999,392395
Belize,Female,2005,24390
Belize,Female,2004,23860
Belize,Female,2003,23030
Belize,Female,2002,22717
Belize,Female,2001,21936
Belize,Female,2000,21612
Belize,Female,1999,21416
Belize,Male,2005,25999
Belize,Male,2004,25136
Belize,Male,2003,24157
Belize,Male,2002,24282
Belize,Male,2001,23310
Belize,Male,2000,23176
Belize,Male,1999,22764
Benin,Female,2005,574103
Benin,Female,2004,564661
Benin,Female,2003,516137
Benin,Female,2002,475653
Benin,Female,2001,427869
Benin,Female,2000,374622
Benin,Female,1999,342595
Benin,Male,2005,744037
Benin,Male,2004,754987
Benin,Male,2003,717077
Benin,Male,2002,677145
Benin,Male,2001,627067
Benin,Male,2000,557802
Benin,Male,1999,529622
Bermuda,Female,2005,2400
Bermuda,Female,2004,2440
Bermuda,Female,2003,2445
Bermuda,Female,2002,2468
Bermuda,Female,2001,2462
Bermuda,Male,2005,2360
Bermuda,Male,2004,2370
Bermuda,Male,2003,2434
Bermuda,Male,2002,2442
Bermuda,Male,2001,2497
Bhutan,Female,2005,48459
Bhutan,Female,2002,43322
Bhutan,Female,2001,41242
Bhutan,Female,2000,39250
Bhutan,Female,1999,37056
Bhutan,Male,2005,50999
Bhutan,Male,2002,48068
Bhutan,Male,2001,46962
Bhutan,Male,2000,45842
Bhutan,Male,1999,44100
Bolivia,Female,2004,754948
Bolivia,Female,2003,749209
Bolivia,Female,2002,753544
Bolivia,Female,2001,731896
Bolivia,Female,2000,727053
Bolivia,Female,1999,703561
Bolivia,Male,2004,786611
Bolivia,Male,2003,782787
Bolivia,Male,2002,790886
Bolivia,Male,2001,769144
Bolivia,Male,2000,764970
Bolivia,Male,1999,741318
Botswana,Female,2005,162758
Botswana,Female,2004,161933
Botswana,Female,2003,163403
Botswana,Female,2002,163589
Botswana,Female,2001,163519
Botswana,Female,2000,161091
Botswana,Female,1999,160351
Botswana,Male,2005,168130
Botswana,Male,2004,166759
Botswana,Male,2003,166973
Botswana,Male,2002,167246
Botswana,Male,2001,165932
Botswana,Male,2000,163192
Botswana,Male,1999,162124
Brazil,Female,2004,8956527
Brazil,Female,2003,9028186
Brazil,Female,2002,9251695
Brazil,Female,2001,9420559
Brazil,Female,2000,9640628
Brazil,Female,1999,9994506
Brazil,Male,2004,10012057
Brazil,Male,2003,9890936
Brazil,Male,2002,10128692
Brazil,Male,2001,10307125
Brazil,Male,2000,10570878
Brazil,Male,1999,10944570
British Virgin Islands,Female,2005,1398
British Virgin Islands,Female,2004,1361
British Virgin Islands,Female,2003,1331
British Virgin Islands,Female,2002,1376
British Virgin Islands,Female,2001,1378
British Virgin Islands,Female,2000,1385
British Virgin Islands,Female,1999,1350
British Virgin Islands,Male,2005,1500
British Virgin Islands,Male,2004,1463
British Virgin Islands,Male,2003,1449
British Virgin Islands,Male,2002,1435
British Virgin Islands,Male,2001,1397
British Virgin Islands,Male,2000,1398
British Virgin Islands,Male,1999,1407
Brunei,Female,2005,22029
Brunei,Female,2004,22199
Brunei,Female,2003,22230
Brunei,Female,2002,21479
Brunei,Female,2001,21187
Brunei,Female,2000,21359
Brunei,Female,1999,21538
Brunei,Male,2005,23983
Brunei,Male,2004,24183
Brunei,Male,2003,24012
Brunei,Male,2002,23403
Brunei,Male,2001,23300
Brunei,Male,2000,23622
Brunei,Male,1999,24289
Bulgaria,Female,2005,140230
Bulgaria,Female,2004,151711
Bulgaria,Female,2003,160631
Bulgaria,Female,2002,168564
Bulgaria,Female,2001,180011
Bulgaria,Female,2000,189048
Bulgaria,Female,1999,198169
Bulgaria,Male,2005,149787
Bulgaria,Male,2004,162510
Bulgaria,Male,2003,172385
Bulgaria,Male,2002,181052
Bulgaria,Male,2001,194350
Bulgaria,Male,2000,203828
Bulgaria,Male,1999,213557
Burkina Faso,Female,2005,555518
Burkina Faso,Female,2004,492469
Burkina Faso,Female,2003,426577
Burkina Faso,Female,2002,399310
Burkina Faso,Female,2001,372044
Burkina Faso,Female,2000,347837
Burkina Faso,Female,1999,330077
Burkina Faso,Male,2005,715319
Burkina Faso,Male,2004,647043
Burkina Faso,Male,2003,585573
Burkina Faso,Male,2002,557411
Burkina Faso,Male,2001,529277
Burkina Faso,Male,2000,504323
Burkina Faso,Male,1999,486316
Burundi,Female,2005,478876
Burundi,Female,2004,439977
Burundi,Female,2003,399111
Burundi,Female,2002,359385
Burundi,Female,2001,333283
Burundi,Female,2000,315875
Burundi,Female,1999,312081
Burundi,Male,2005,557983
Burundi,Male,2004,528511
Burundi,Male,2003,495748
Burundi,Male,2002,457838
Burundi,Male,2001,417416
Burundi,Male,2000,394489
Burundi,Male,1999,389710
Cambodia,Female,2005,1273292
Cambodia,Female,2004,1299480
Cambodia,Female,2003,1296872
Cambodia,Female,2002,1269454
Cambodia,Female,2001,1124960
Cambodia,Female,2000,1030659
Cambodia,Female,1999,972686
Cambodia,Male,2005,1422080
Cambodia,Male,2004,1463402
Cambodia,Male,2003,1475241
Cambodia,Male,2002,1459244
Cambodia,Male,2001,1306182
Cambodia,Male,2000,1217450
Cambodia,Male,1999,1154742
Cameroon,Female,2005,1372243
Cameroon,Female,2004,1364050
Cameroon,Female,2003,1278804
Cameroon,Female,2002,1259235
Cameroon,Female,2001,1241171
Cameroon,Female,2000,1023324
Cameroon,Female,1999,957306
Cameroon,Male,2005,1628538
Cameroon,Male,2004,1614961
Cameroon,Male,2003,1519719
Cameroon,Male,2002,1482392
Cameroon,Male,2001,1447881
Cameroon,Male,2000,1213759
Cameroon,Male,1999,1176401
Canada,Female,2004,1161316
Canada,Female,2002,1196358
Canada,Female,2000,1199459
Canada,Female,1999,1185830
Canada,Male,2004,1227872
Canada,Male,2002,1264585
Canada,Male,2000,1256977
Canada,Male,1999,1242790
Cape Verde,Female,2005,40247
Cape Verde,Female,2004,41385
Cape Verde,Female,2003,42744
Cape Verde,Female,2002,43957
Cape Verde,Female,2001,44405
Cape Verde,Female,2000,44915
Cape Verde,Female,1999,44829
Cape Verde,Male,2005,42705
Cape Verde,Male,2004,43753
Cape Verde,Male,2003,45097
Cape Verde,Male,2002,45852
Cape Verde,Male,2001,46235
Cape Verde,Male,2000,46721
Cape Verde,Male,1999,47194
Cayman Islands,Female,2005,1568
Cayman Islands,Female,2004,1631
Cayman Islands,Female,2002,1767
Cayman Islands,Female,2001,1740
Cayman Islands,Female,2000,1716
Cayman Islands,Female,1999,1513
Cayman Islands,Male,2005,1672
Cayman Islands,Male,2004,1730
Cayman Islands,Male,2002,1812
Cayman Islands,Male,2001,1809
Cayman Islands,Male,2000,1719
Cayman Islands,Male,1999,1718
Central African Republic,Female,2005,147865
Central African Republic,Female,2004,145919
Central African Republic,Female,2003,170035
Central African Republic,Female,2002,165904
Central African Republic,Female,2001,187612
Central African Republic,Male,2005,220118
Central African Republic,Male,2004,217239
Central African Republic,Male,2003,244502
Central African Republic,Male,2002,244658
Central African Republic,Male,2001,270973
Chad,Female,2005,506645
Chad,Female,2004,502050
Chad,Female,2003,462200
Chad,Female,2002,424629
Chad,Female,2001,381112
Chad,Female,2000,345206
Chad,Female,1999,308613
Chad,Male,2005,755748
Chad,Male,2004,769935
Chad,Male,2003,701893
Chad,Male,2002,660618
Chad,Male,2001,603112
Chad,Male,2000,568341
Chad,Male,1999,531319
Chile,Female,2005,825401
Chile,Female,2004,841671
Chile,Female,2003,830585
Chile,Female,2002,850746
Chile,Female,2000,872425
Chile,Female,1999,873723
Chile,Male,2005,895550
Chile,Male,2004,914326
Chile,Male,2003,882953
Chile,Male,2002,903206
Chile,Male,2000,926090
Chile,Male,1999,930889
China,Female,2005,52941959
China,Female,2004,57095125
China,Female,2003,57414053
China,Female,2002,59537749
China,Female,2001,61945602
China,Male,2005,59798004
China,Male,2004,63903480
China,Male,2003,64248308
China,Male,2002,66219144
China,Male,2001,68186944
Colombia,Female,2005,2568957
Colombia,Female,2004,2559509
Colombia,Female,2003,2538173
Colombia,Female,2002,2532147
Colombia,Female,2001,2502059
Colombia,Female,2000,2553765
Colombia,Female,1999,2530073
Colombia,Male,2005,2729300
Colombia,Male,2004,2699524
Colombia,Male,2003,2668976
Colombia,Male,2002,2660908
Colombia,Male,2001,2629404
Colombia,Male,2000,2667253
Colombia,Male,1999,2632187
Comoros,Female,2005,49249
Comoros,Female,2004,47922
Comoros,Female,2003,46225
