Country or Area,Subgroup,Year,Value
Afghanistan,Female,2005,152216
Afghanistan,Female,2004,96740
Afghanistan,Female,2003,99473
Afghanistan,Female,2001,-
Afghanistan,Male,2005,499237
Afghanistan,Male,2004,497566
Afghanistan,Male,2003,307422
Afghanistan,Male,2001,362415
Albania,Female,2004,190363
Albania,Female,2003,191295
Albania,Female,2002,180525
Albania,Female,2001,183877
Albania,Female,2000,177264
Albania,Female,1999,176045
Albania,Male,2004,206693
Albania,Male,2003,204844
Albania,Male,2002,202254
Albania,Male,2001,193321
Albania,Male,2000,186425
Albania,Male,1999,187457
Algeria,Female,2005,1905649
Algeria,Female,2004,1863415
Algeria,Female,2003,1793152
Algeria,Female,2002,1715721
Algeria,Male,2005,1850172
Algeria,Male,2004,1813692
Algeria,Male,2003,1755332
Algeria,Male,2002,1708487
Andorra,Female,2005,1879
Andorra,Female,2004,1622
Andorra,Female,2003,1604
Andorra,Female,2002,1574
Andorra,Male,2005,1858
Andorra,Male,2004,1628
Andorra,Male,2003,1590
Andorra,Male,2002,1558
Angola,Female,2001,182772
Angola,Female,2000,160963
Angola,Female,1999,136803
Angola,Male,2001,230923
Angola,Male,2000,194021
Angola,Male,1999,163677
Anguilla,Female,2005,517
Anguilla,Female,2004,550
Anguilla,Female,2003,558
Anguilla,Female,2002,552
Anguilla,Female,2001,559
Anguilla,Female,2000,557
Anguilla,Female,1999,517
Anguilla,Male,2005,507
Anguilla,Male,2004,526
Anguilla,Male,2003,542
Anguilla,Male,2002,521
Anguilla,Male,2001,537
Anguilla,Male,2000,542
Anguilla,Male,1999,463
Antigua and Barbuda,Female,2000,2651
Antigua and Barbuda,Male,2000,2625
Argentina,Female,2004,1788975
Argentina,Female,2003,1782804
Argentina,Female,2002,2015520
Argentina,Female,2001,2007901
Argentina,Female,2000,1950550
Argentina,Female,1999,1896924
Argentina,Male,2004,1727390
Argentina,Male,2003,1716377
Argentina,Male,2002,1960693
Argentina,Male,2001,1945776
Argentina,Male,2000,1881708
Argentina,Male,1999,1825525
Armenia,Female,2005,181263
Armenia,Female,2004,195223
Armenia,Female,2003,181720
Armenia,Female,2002,191796
Armenia,Female,2001,195066
Armenia,Female,2000,192213
Armenia,Male,2005,184137
Armenia,Male,2004,197352
Armenia,Male,2003,183275
Armenia,Male,2002,185920
Armenia,Male,2001,189099
Armenia,Male,2000,197429
Aruba,Female,2005,3611
Aruba,Female,2004,3525
Aruba,Female,2003,3543
Aruba,Female,2002,3479
Aruba,Female,2001,3282
Aruba,Female,2000,3120
Aruba,Female,1999,3134
Aruba,Male,2005,3505
Aruba,Male,2004,3448
Aruba,Male,2003,3326
Aruba,Male,2002,3278
Aruba,Male,2001,3146
Aruba,Male,2000,3058
Aruba,Male,1999,3025
Australia,Female,2005,1185171
Australia,Female,2004,1190189
Australia,Female,2003,1235670
Australia,Female,2002,1206809
Australia,Female,2001,1209601
Australia,Female,2000,1266000
Australia,Female,1999,1215766
Australia,Male,2005,1306286
Australia,Male,2004,1302046
Australia,Male,2003,1333121
Australia,Male,2002,1306861
Australia,Male,2001,1290075
Australia,Male,2000,1323474
Australia,Male,1999,1275638
Austria,Female,2005,371313
Austria,Female,2004,364880
Austria,Female,2003,362790
Austria,Female,2002,359120
Austria,Female,2001,357420
Austria,Female,2000,357194
Austria,Female,1999,355858
Austria,Male,2005,409979
Austria,Male,2004,405511
Austria,Male,2003,401636
Austria,Male,2002,396461
Austria,Male,2001,391715
Austria,Male,2000,391465
Austria,Male,1999,391823
Azerbaijan,Female,2005,512201
Azerbaijan,Female,2004,520947
Azerbaijan,Female,2003,524535
Azerbaijan,Female,2002,500117
Azerbaijan,Female,2001,490082
Azerbaijan,Female,2000,462238
Azerbaijan,Female,1999,453997
Azerbaijan,Male,2005,557779
Azerbaijan,Male,2004,564685
Azerbaijan,Male,2003,569852
Azerbaijan,Male,2002,540058
Azerbaijan,Male,2001,530049
Azerbaijan,Male,2000,483155
Azerbaijan,Male,1999,475068
Bahamas,Female,2005,15950
