Country or Area,Subgroup,Year,Value
Afghanistan,Female,2004,5637
Afghanistan,Female,2003,5344
Afghanistan,Male,2004,22011
Afghanistan,Male,2003,20867
Albania,Female,2004,32897
Albania,Female,2003,27180
Albania,Female,2002,26124
Albania,Female,2001,25069
Albania,Female,2000,24017
Albania,Female,1999,23032
Albania,Male,2004,20117
Albania,Male,2003,16420
Albania,Male,2002,16036
Albania,Male,2001,15790
Albania,Male,2000,16108
Albania,Male,1999,15470
Algeria,Female,2005,429912
Algeria,Female,2004,365409
Algeria,Male,2005,325551
Algeria,Male,2004,351043
Andorra,Female,2005,174
Andorra,Female,2004,161
Andorra,Female,2003,149
Andorra,Female,2002,133
Andorra,Male,2005,168
Andorra,Male,2004,170
Andorra,Male,2003,157
Andorra,Male,2002,134
Angola,Female,2002,5009
Angola,Female,1999,3060
Angola,Male,2002,7557
Angola,Male,1999,4785
Anguilla,Female,2005,25
Anguilla,Female,2004,17
Anguilla,Female,2003,12
Anguilla,Female,2002,…
Anguilla,Female,2001,…
Anguilla,Female,2000,…
Anguilla,Female,1999,…
Anguilla,Male,2005,8
Anguilla,Male,2004,4
Anguilla,Male,2003,0
Anguilla,Male,2002,…
Anguilla,Male,2001,…
Anguilla,Male,2000,…
Anguilla,Male,1999,…
Antigua and Barbuda,Female,2004,…
Antigua and Barbuda,Female,2003,…
Antigua and Barbuda,Female,2002,…
Antigua and Barbuda,Female,2001,…
Antigua and Barbuda,Female,2000,…
Antigua and Barbuda,Female,1999,…
Antigua and Barbuda,Male,2004,…
Antigua and Barbuda,Male,2003,…
Antigua and Barbuda,Male,2002,…
Antigua and Barbuda,Male,2001,…
Antigua and Barbuda,Male,2000,…
Antigua and Barbuda,Male,1999,…
Argentina,Female,2004,1234534
Argentina,Female,2003,1253534
Argentina,Female,2002,1202086
Argentina,Female,2001,1136287
Argentina,Female,2000,1066341
Argentina,Female,1999,987167
Argentina,Male,2004,892579
Argentina,Male,2003,847903
Argentina,Male,2002,824649
Argentina,Male,2001,782421
Argentina,Male,2000,700592
Argentina,Male,1999,613715
Armenia,Female,2005,48060
Armenia,Female,2004,44002
Armenia,Female,2003,39544
Armenia,Female,2002,40516
Armenia,Female,2001,37523
Armenia,Female,2000,33731
Armenia,Female,1999,32883
Armenia,Male,2005,38569
Armenia,Male,2004,35319
Armenia,Male,2003,34059
Armenia,Male,2002,34958
Armenia,Male,2001,31181
Armenia,Male,2000,29063
Armenia,Male,1999,27801
Aruba,Female,2005,1259
Aruba,Female,2004,1026
Aruba,Female,2003,992
Aruba,Female,2002,962
Aruba,Female,2001,986
Aruba,Female,2000,957
Aruba,Female,1999,780
Aruba,Male,2005,847
Aruba,Male,2004,678
Aruba,Male,2003,680
Aruba,Male,2002,630
Aruba,Male,2001,642
Aruba,Male,2000,621
Aruba,Male,1999,666
Australia,Female,2005,553069
Australia,Female,2004,543347
Australia,Female,2003,544603
Australia,Female,2002,546544
Australia,Female,2001,470652
Australia,Female,2000,458538
Australia,Female,1999,457686
Australia,Male,2005,461991
Australia,Male,2004,459651
Australia,Male,2003,461374
Australia,Male,2002,465666
Australia,Male,2001,398037
Australia,Male,2000,386594
Australia,Male,1999,387950
Austria,Female,2005,131144
Austria,Female,2004,127206
Austria,Female,2003,121778
Austria,Female,2002,117881
Austria,Female,2001,137222
Austria,Female,2000,133122
Austria,Female,1999,126534
Austria,Male,2005,113266
Austria,Male,2004,111316
Austria,Male,2003,108024
Austria,Male,2002,105854
Austria,Male,2001,127447
Austria,Male,2000,128107
Austria,Male,1999,126359
Azerbaijan,Female,2005,60131
Azerbaijan,Female,2004,56431
Azerbaijan,Female,2003,54117
Azerbaijan,Female,2002,53661
Azerbaijan,Female,2001,50203
Azerbaijan,Female,2000,46884
Azerbaijan,Female,1999,42066
Azerbaijan,Male,2005,68503
Azerbaijan,Male,2004,66339
Azerbaijan,Male,2003,67039
Azerbaijan,Male,2002,67814
Azerbaijan,Male,2001,70490
Azerbaijan,Male,2000,70193
Azerbaijan,Male,1999,65717
Bahamas,Female,2005,…
Bahamas,Female,2004,…
Bahamas,Female,2003,…
Bahamas,Female,2002,…
Bahamas,Female,2001,…
Bahamas,Female,2000,…
Bahamas,Female,1999,…
Bahamas,Male,2005,…
Bahamas,Male,2004,…
Bahamas,Male,2003,…
Bahamas,Male,2002,…
Bahamas,Male,2001,…
Bahamas,Male,2000,…
Bahamas,Male,1999,…
Bahrain,Female,2005,12781
Bahrain,Female,2004,11684
Bahrain,Female,2003,11810
Bahrain,Female,1999,6630
Bahrain,Male,2005,6060
Bahrain,Male,2004,6840
Bahrain,Male,2003,7269
Bahrain,Male,1999,4418
Bangladesh,Female,2005,304935
Bangladesh,Female,2004,259165
Bangladesh,Female,2003,280951
Bangladesh,Female,2002,273799
Bangladesh,Female,2001,297265
Bangladesh,Female,2000,234797
Bangladesh,Female,1999,228860
Bangladesh,Male,2005,606665
Bangladesh,Male,2004,562199
Bangladesh,Male,2003,596384
Bangladesh,Male,2002,581540
Bangladesh,Male,2001,581272
Bangladesh,Male,2000,491904
Bangladesh,Male,1999,480364
Barbados,Female,2001,5640
Barbados,Female,2000,5838
Barbados,Female,1999,4786
Barbados,Male,2001,2339
Barbados,Male,2000,2236
Barbados,Male,1999,2129
Belarus,Female,2005,299984
Belarus,Female,2004,289517
Belarus,Female,2003,278862
Belarus,Female,2002,263271
Belarus,Female,2001,246071
Belarus,Female,2000,231169
Belarus,Female,1999,216261
Belarus,Male,2005,228524
Belarus,Male,2004,217843
Belarus,Male,2003,209788
Belarus,Male,2002,200273
Belarus,Male,2001,191924
Belarus,Male,2000,180692
Belarus,Male,1999,171086
Belgium,Female,2005,211974
Belgium,Female,2004,207756
Belgium,Female,2003,199796
Belgium,Female,2002,194843
Belgium,Female,2001,189813
Belgium,Female,2000,185908
Belgium,Female,1999,185306
Belgium,Male,2005,177573
Belgium,Male,2004,178354
Belgium,Male,2003,174736
Belgium,Male,2002,172139
Belgium,Male,2001,169452
Belgium,Male,2000,169840
Belgium,Male,1999,166482
Belize,Female,2004,507
Belize,Female,2003,342
Belize,Male,2004,215
Belize,Male,2003,185
Benin,Female,2001,3920
Benin,Female,2000,3719
Benin,Female,1999,3346
Benin,Male,2001,15838
Benin,Male,2000,15034
Benin,Male,1999,12938
Bermuda,Female,2002,1080
Bermuda,Female,2001,1068
Bermuda,Male,2002,880
Bermuda,Male,2001,874
Bhutan,Female,2001,639
Bhutan,Female,2000,620
Bhutan,Female,1999,539
Bhutan,Male,2001,1254
Bhutan,Male,2000,1217
Bhutan,Male,1999,940
Botswana,Female,2005,5449
Botswana,Female,2004,4735
Botswana,Female,2002,3754
Botswana,Female,2001,3597
Botswana,Female,2000,2684
Botswana,Female,1999,2436
Botswana,Male,2005,5501
Botswana,Male,2004,5462
Botswana,Male,2002,4618
Botswana,Male,2001,4054
Botswana,Male,2000,3648
Botswana,Male,1999,3096
Brazil,Female,2004,2408720
Brazil,Female,2003,2254291
Brazil,Female,2002,2022907
Brazil,Female,2001,1753483
Brazil,Female,2000,1562153
Brazil,Female,1999,1365159
Brazil,Male,2004,1866307
Brazil,Male,2003,1740131
Brazil,Male,2002,1559198
Brazil,Male,2001,1372262
Brazil,Male,2000,1219175
Brazil,Male,1999,1091802
British Virgin Islands,Female,2005,825
British Virgin Islands,Female,2004,789
British Virgin Islands,Female,2003,735
British Virgin Islands,Female,2002,523
British Virgin Islands,Female,2001,423
British Virgin Islands,Female,2000,540
British Virgin Islands,Female,1999,598
British Virgin Islands,Male,2005,375
British Virgin Islands,Male,2004,347
British Virgin Islands,Male,2003,290
British Virgin Islands,Male,2002,235
British Virgin Islands,Male,2001,246
British Virgin Islands,Male,2000,210
British Virgin Islands,Male,1999,258
Brunei,Female,2005,3341
Brunei,Female,2004,3247
Brunei,Female,2003,2941
Brunei,Female,2002,2886
Brunei,Female,2001,2830
Brunei,Female,2000,2580
Brunei,Female,1999,2442
Brunei,Male,2005,1682
Brunei,Male,2004,1670
Brunei,Male,2003,1605
Brunei,Male,2002,1627
Brunei,Male,2001,1649
Brunei,Male,2000,1404
Brunei,Male,1999,1263
Bulgaria,Female,2005,123940
Bulgaria,Female,2004,119890
Bulgaria,Female,2003,121709
Bulgaria,Female,2002,123261
Bulgaria,Female,2001,139081
Bulgaria,Female,2000,149671
Bulgaria,Female,1999,160614
Bulgaria,Male,2005,113969
Bulgaria,Male,2004,108578
Bulgaria,Male,2003,108804
Bulgaria,Male,2002,105133
Bulgaria,Male,2001,107925
Bulgaria,Male,2000,111650
Bulgaria,Male,1999,109463
Burkina Faso,Female,2005,8587
Burkina Faso,Female,2004,4228
Burkina Faso,Female,2003,4078
Burkina Faso,Female,2002,3946
Burkina Faso,Female,2001,3130
Burkina Faso,Female,2000,…
Burkina Faso,Female,1999,2251
Burkina Faso,Male,2005,19355
Burkina Faso,Male,2004,14640
Burkina Faso,Male,2003,14122
Burkina Faso,Male,2002,11589
Burkina Faso,Male,2001,9192
Burkina Faso,Male,2000,…
Burkina Faso,Male,1999,7627
Burundi,Female,2005,4673
Burundi,Female,2004,4353
Burundi,Female,2003,3795
Burundi,Female,2002,3211
Burundi,Female,2001,1712
Burundi,Female,2000,1643
Burundi,Female,1999,1488
Burundi,Male,2005,12216
Burundi,Male,2004,11353
Burundi,Male,2003,8120
Burundi,Male,2002,7335
Burundi,Male,2001,4577
Burundi,Male,2000,4489
Burundi,Male,1999,3549
Cambodia,Female,2005,17875
Cambodia,Female,2004,14196
Cambodia,Female,2003,12457
Cambodia,Female,2002,9228
Cambodia,Female,2001,6950
Cambodia,Female,2000,5547
Cambodia,Male,2005,38935
Cambodia,Male,2004,31174
Cambodia,Male,2003,30753
Cambodia,Male,2002,22782
Cambodia,Male,2001,18466
Cambodia,Male,2000,16561
Cameroon,Female,2005,39448
Cameroon,Female,2004,32541
Cameroon,Female,2003,31538
Cameroon,Female,2002,30138
Cameroon,Male,2005,60416
Cameroon,Male,2004,51362
Cameroon,Male,2003,49780
Cameroon,Male,2002,47569
Canada,Female,2004,748927
Canada,Female,2002,707689
Canada,Female,2000,678935
Canada,Female,1999,683311
Canada,Male,2004,577784
Canada,Male,2002,547144
Canada,Male,2000,533226
Canada,Male,1999,537340
Cape Verde,Female,2005,1994
Cape Verde,Female,2004,1597
Cape Verde,Female,2003,1172
Cape Verde,Female,2002,924
Cape Verde,Female,2001,367
Cape Verde,Female,2000,409
Cape Verde,Male,2005,1916
Cape Verde,Male,2004,1439
Cape Verde,Male,2003,1043
Cape Verde,Male,2002,886
Cape Verde,Male,2001,351
Cape Verde,Male,2000,392
Cayman Islands,Female,2001,291
Cayman Islands,Female,2000,280
Cayman Islands,Female,1999,280
Cayman Islands,Male,2001,99
Cayman Islands,Male,2000,100
Cayman Islands,Male,1999,100
Central African Republic,Female,2000,1027
Central African Republic,Female,1999,1002
Central African Republic,Male,2000,5296
Central African Republic,Male,1999,5227
Chad,Female,2005,1310
Chad,Female,2004,1262
Chad,Female,2003,755
Chad,Female,2001,916
Chad,Female,2000,885
Chad,Male,2005,9158
Chad,Male,2004,8819
Chad,Male,2003,6642
Chad,Male,2001,5190
Chad,Male,2000,5016
Chile,Female,2005,319529
Chile,Female,2004,278712
Chile,Female,2003,271278
Chile,Female,2002,247809
Chile,Female,2000,213254
Chile,Female,1999,212448
Chile,Male,2005,344165
Chile,Male,2004,302103
Chile,Male,2003,295836
Chile,Male,2002,273800
Chile,Male,2000,238923
Chile,Male,1999,238504
China,Female,2005,9944290
China,Female,2004,8512217
China,Female,2003,6657178
China,Male,2005,11391356
China,Male,2004,10904827
China,Male,2003,8529039
Colombia,Female,2005,628006
Colombia,Female,2004,570760
Colombia,Female,2003,508128
Colombia,Female,2002,509251
Colombia,Female,2001,506344
Colombia,Female,2000,481970
Colombia,Female,1999,457595
Colombia,Male,2005,595588
Colombia,Male,2004,541814
Colombia,Male,2003,478552
Colombia,Male,2002,480494
Colombia,Male,2001,470899
Colombia,Male,2000,452115
Colombia,Male,1999,420349
Comoros,Female,2004,768
Comoros,Female,2003,737
Comoros,Female,2000,299
Comoros,Female,1999,277
Comoros,Male,2004,1011
Comoros,Male,2003,970
Comoros,Male,2000,415
Comoros,Male,1999,372
Congo,Female,2003,1969
Congo,Female,2002,1923
Congo,Female,2001,1599
Congo,Female,2000,3716
Congo,Female,1999,2251
