Country or Area,Year,Female,Male
Afghanistan,2000,12.6,43.1
Albania,2001,98.3,99.2
Algeria,1987,35.8,63.4
Algeria,2002,60.1,79.6
Angola,2001,54.2,82.9
Argentina,1991,96,96.2
Argentina,2001,97.2,97.2
Armenia,1989,98.2,99.4
Armenia,2001,99.2,99.7
Aruba,2000,97.1,97.5
Azerbaijan,1999,98.2,99.5
Bahrain,1991,76.9,88.5
Bahrain,2001,83.6,88.6
Bangladesh,1991,25.8,44.3
Bangladesh,2001,40.8,53.9
Belarus,1989,96.6,99.4
Belarus,1999,99.4,99.8
Belize,1991,70.3,70.3
Benin,1992,16.6,39.9
Benin,2002,23.3,47.9
Bolivia,1992,72.3,88.2
Bolivia,2001,80.7,93.1
Bosnia and Herzegovina,2000,94.4,99
Botswana,1991,71.3,65.4
Botswana,2003,81.8,80.4
Brazil,2000,86.5,86.2
Brazil,2004,88.8,88.4
Brunei,1991,82.5,92.5
Brunei,2001,90.2,95.2
Bulgaria,2001,97.7,98.7
Burkina Faso,1991,8.2,19.6
Burkina Faso,1996,8.1,18.5
Burkina Faso,2003,15.2,29.4
Burkina Faso,2005,16.6,31.4
Burundi,1990,27.5,48.2
Burundi,2000,52.2,67.3
Côte d’Ivoire,1988,23.4,44.4
Côte d’Ivoire,2000,38.6,60.8
Cambodia,1998,57,79.5
Cambodia,2004,64.1,84.7
Cameroon,2001,59.8,77
Cape Verde,1990,53,74.8
Cape Verde,2004,75.5,87.8
Central African Republic,1988,20.3,48
Central African Republic,2000,33.5,64.8
Chad,2000,12.8,40.8
Chile,1992,94,94.6
Chile,2002,95.6,95.8
China,1990,68.1,87
China,2000,86.5,95.1
Colombia,1993,81.2,81.5
Colombia,1996,91.3,91.1
Colombia,2004,92.7,92.9
Colombia,2005,92.9,92.8
Congo,1994,65.4,82.6
Congo,2004,79,90.5
Congo Dem. Rep.,2001,54.1,80.9
Costa Rica,2000,95.1,94.7
Croatia,1991,94.8,98.8
Croatia,2001,97.1,99.3
Cuba,2002,99.8,99.8
Cyprus,1992,91,97.8
Cyprus,2001,95.1,98.6
Dominican Republic,2002,87.2,86.8
Ecuador,1990,86.2,90.5
Ecuador,2001,89.7,92.3
Egypt,1986,31.4,57
Egypt,1996,43.6,67.2
Egypt,2005,59.4,83
El Salvador,1992,71.3,77.4
El Salvador,2004,79.2,82.1
Equatorial Guinea,2000,80.5,93.4
Estonia,1989,99.6,99.9
Estonia,2000,99.8,99.8
Ethiopia,1994,18.5,36
Ethiopia,2004,22.8,50
Gabon,1993,65.3,79.4
Gabon,2004,80,88
Ghana,2000,49.8,66.4
Greece,1991,89.4,96
Greece,2001,94.2,97.8
Guatemala,1994,57.3,71.7
Guatemala,2002,63.3,75.4
Guinea,2003,18.1,42.6
Honduras,2001,80.2,79.8
India,1991,33.7,61.6
India,2001,47.8,73.4
Indonesia,1990,75.3,88
Indonesia,2004,86.8,94
Iran,1986,41,63.1
Iran,1991,56.2,74.3
Iran,1996,66.1,79.9
Iran,2005,76.8,88
Iraq,2000,64.2,84.1
Italy,2001,98,98.8
Jamaica,1999,85.9,74.1
Jordan,2003,84.7,95.1
Jordan,2005,87,95.2
Kazakhstan,1989,96.1,99.1
Kazakhstan,1999,99.3,99.8
Kenya,2000,70.2,77.7
Kuwait,1985,68.8,78.2
Kuwait,1995,74.1,81.1
