Country or Area,Year,Female,Male
Afghanistan,2000,18.4,50.8
Albania,2001,99.5,99.4
Algeria,2002,86.1,94.1
Angola,2001,63.2,83.7
Argentina,1991,98.5,98.1
Argentina,2001,99.1,98.7
Armenia,2001,99.9,99.8
Aruba,2000,99.2,98.9
Azerbaijan,1999,99.9,99.9
Bahrain,1991,96.6,97.3
Bahrain,2001,97.3,96.8
Bangladesh,1991,38,51.7
Bangladesh,2001,60.3,67.2
Belarus,1999,99.8,99.8
Belize,1991,76.7,76.1
Benin,1992,26.7,55.1
Benin,2002,33.2,59.2
Bolivia,1992,91.6,96.3
Bolivia,2001,96.1,98.5
Bosnia and Herzegovina,2000,99.8,99.7
Botswana,1991,92.3,85.9
Botswana,2003,95.6,92.1
Brazil,2000,95.7,92.7
Brazil,2004,97.9,95.8
Brunei,1991,98.1,98.1
Brunei,2001,98.9,98.9
Bulgaria,2001,98.1,98.3
Burkina Faso,1991,14.2,26.8
Burkina Faso,1996,14,25.5
Burkina Faso,2003,24.8,38.4
Burkina Faso,2005,26.5,40.4
Burundi,1990,48,59.5
Burundi,2000,70.4,76.8
Côte d’Ivoire,2000,52.1,70.8
Cambodia,1998,71.1,81.8
Cambodia,2004,78.9,87.9
Cape Verde,1990,86.4,89.9
Cape Verde,2004,96.7,95.8
Central African Republic,2000,46.9,70.3
Chad,2000,23.2,55.7
Chile,1992,98.7,98.2
Chile,2002,99.2,98.8
China,1990,91.5,97
China,2000,98.5,99.2
Colombia,1993,91.8,89.4
Colombia,1996,97.6,96.4
Colombia,2004,98.4,97.6
Colombia,2005,98.4,97.5
Congo,1994,91.3,96.1
Congo,2004,96.5,98.4
Congo Dem. Rep.,2001,63.1,78
Costa Rica,2000,98,97.2
Croatia,1991,99.6,99.7
Croatia,2001,99.7,99.6
Cuba,2002,100,100
Cyprus,1992,99.7,99.6
Cyprus,2001,99.8,99.7
Dominican Republic,2002,95.4,93
Ecuador,1990,95.8,96.6
Ecuador,2001,96.5,96.4
Egypt,1996,66.9,79
Egypt,2005,78.9,90.1
El Salvador,1992,84.9,84.9
El Salvador,2004,90.3,86.6
Equatorial Guinea,2000,94.9,94.8
Estonia,2000,99.8,99.7
Ethiopia,1994,28.1,39.3
Ethiopia,2004,33.8,28.6
Gabon,1993,92.1,94.4
Gabon,2004,95.1,97.3
Ghana,2000,65.5,75.9
Greece,1991,99,99
Greece,2001,99,98.9
Guatemala,1994,70.7,81.7
Guatemala,2002,78.4,86.4
Guinea,2003,33.7,58.7
Honduras,2001,90.9,86.9
India,1991,49.3,73.5
India,2001,67.7,84.2
Indonesia,1990,95.1,97.4
Indonesia,2004,98.5,98.9
Iran,1991,81.2,92.4
Iran,1996,90.6,95.5
Iran,2005,96.7,98.1
Iraq,2000,80.5,88.9
Israel,2004,99.6,100
Italy,2001,99.8,99.8
Jordan,2005,99,98.9
Kazakhstan,1999,99.9,99.8
Kenya,2000,80.7,79.8
Kuwait,1995,90.2,93.8
Kuwait,2005,99.8,99.7
Kyrgyzstan,1999,99.7,99.7
Lao PDR,1995,64.1,78.8
Lao PDR,2001,74.7,82.6
Latvia,2000,99.8,99.7
Liberia,1994,46.9,55.8
Liberia,2004,69.5,65.3
Libya,1994,90.8,98.9
Libya,2004,96.5,99.5
Lithuania,2001,99.7,99.7
Macau SAR,2001,99.8,99.4
Macedonia,1994,98.6,99.1
Macedonia,2002,98.5,99
Madagascar,2000,68.2,72.7
Malawi,1998,70.7,82.1
Malaysia,1991,95.2,95.9
Malaysia,2000,97.3,97.2
Maldives,1990,98.3,98
Maldives,1995,98.3,98
Maldives,2000,98.3,98
Mali,1998,16.9,32.3
Malta,1995,97.8,94.4
Mauritania,2000,55.5,67.7
Mauritius,1990,91.7,90.7
Mauritius,2000,95.4,93.7
Mexico,1990,94.9,96
Mexico,2000,96.5,96.8
Mexico,2002,97.3,97.9
Mexico,2004,97.6,97.5
Mexico,2005,97.6,97.6
Mongolia,2000,98.4,97
Morocco,1994,46,71.4
Morocco,2004,60.5,80.8
Mozambique,1997,36.6,59.5
Myanmar,2000,93.4,95.7
Namibia,1991,90.4,85.7
Namibia,2001,93.5,91.2
Nepal,1991,32.7,68.2
Nepal,2001,60.1,80.6
Netherlands Antilles,1992,97.3,96.6
Netherlands Antilles,2004,98.1,97.9
New Caledonia,1996,99.1,99
Nicaragua,2001,88.8,83.6
Niger,2005,23.2,52.4
Nigeria,1991,62.5,81.4
Nigeria,2004,81.3,87
Oman,2003,96.7,97.9
Pakistan,1998,43.1,67.1
Pakistan,2005,53.1,76.7
"Palestinian Territory, Occupied",1997,97.2,96.9
"Palestinian Territory, Occupied",2004,98.8,99.1
Panama,1990,94.8,95.4
Panama,2000,95.6,96.5
Papua New Guinea,2000,64.1,69.1
Paraguay,1992,95.4,95.9
Paraguay,2004,96.1,95.7
Peru,1993,93.8,97
Peru,2004,95.7,97.8
Peru,2005,96.3,97.9
Philippines,1990,96.9,96.3
Philippines,2000,95.7,94.5
Philippines,2003,96.6,93.6
Portugal,1991,99.3,99.1
Portugal,2004,99.6,99.6
Puerto Rico,1990,94.1,92.2
Puerto Rico,2004,86.3,86.5
Qatar,1997,95.8,94.1
Qatar,2004,97.5,94.9
Republic of Moldova,2004,99.7,99.7
Romania,1992,99,99.2
Romania,2002,97.8,97.7
Russian Federation,2002,99.8,99.7
Rwanda,2000,76.9,78.5
Samoa,1994,99.1,99.2
Samoa,2004,99.4,99.3
Sao Tome and Principe,1991,91.9,95.8
Sao Tome and Principe,2001,94.9,96
Saudi Arabia,1992,81.1,94
Saudi Arabia,2000,93.7,98.1
Saudi Arabia,2004,94.7,97
Senegal,2002,41,58.5
Serbia and Montenegro,1991,98.1,99
Serbia and Montenegro,2002,99.3,99.4
Seychelles,1994,99.1,98.5
Seychelles,2002,99.4,98.8
Sierra Leone,2004,37.4,59.6
Singapore,1990,99.1,98.9
Singapore,2000,99.6,99.4
Slovenia,1991,99.8,99.7
Slovenia,2004,99.9,99.8
South Africa,1996,94.3,93.5
Spain,1991,99.6,99.5
Sri Lanka,2001,96.1,95.1
Sudan,2000,71.4,84.6
Suriname,2004,94.1,95.6
Swaziland,2000,89.8,87
Syria,2002,93,97.1
Syria,2004,90.2,94.6
Tajikistan,2000,99.8,99.8
Tanzania,2002,76.2,80.9
Thailand,2000,97.8,98.1
Togo,2000,63.6,83.7
Tonga,1996,99.4,99.3
Trinidad and Tobago,1994,99.3,99.3
Trinidad and Tobago,2004,99.5,99.5
Tunisia,2004,92.2,96.4
Turkey,1990,88.4,96.6
Turkey,2004,93.3,98
Turkmenistan,1995,99.8,99.8
Uganda,1991,63.1,77.2
Uganda,2002,71.2,82.7
Ukraine,2001,99.8,99.8
United Arab Emirates,1994,91.3,95.2
United Arab Emirates,2004,95.5,97.9
Uruguay,1996,99,98.2
Venezuela,1990,96.4,94.5
Venezuela,2001,98.1,96.3
Vietnam,1999,93.6,94.2
Yemen,1994,35.4,82.8
Yemen,2004,58.9,90.7
Zambia,1990,65.5,67.3
Zambia,1999,66.2,72.6
Zimbabwe,1992,94.4,96.5
Zimbabwe,2004,97.9,97.5
