"OID","Country or Area","Year","Description","Magnitude","Value"
"91491F..ZF...","ALBANIA","2007","GOVERNMENT CONSUMPTION","LEKS","98351700000"
"91491F..ZF...","ALBANIA","2006","GOVERNMENT CONSUMPTION","LEKS","89411200000"
"91491F..ZF...","ALBANIA","2005","GOVERNMENT CONSUMPTION","LEKS","88508000000"
"91491F..ZF...","ALBANIA","2004","GOVERNMENT CONSUMPTION","LEKS","82483800000"
"91491F..ZF...","ALBANIA","2003","GOVERNMENT CONSUMPTION","LEKS","75585400000"
"91491F..ZF...","ALBANIA","2002","GOVERNMENT CONSUMPTION","LEKS","69571800000"
"91491F..ZF...","ALBANIA","2001","GOVERNMENT CONSUMPTION","LEKS","60667500000"
"91491F..ZF...","ALBANIA","2000","GOVERNMENT CONSUMPTION","LEKS","49453700000"
"91491F..ZF...","ALBANIA","1999","GOVERNMENT CONSUMPTION","LEKS","47022600000"
"91491F..ZF...","ALBANIA","1998","GOVERNMENT CONSUMPTION","LEKS","41986900000"
"91491F..ZF...","ALBANIA","1997","GOVERNMENT CONSUMPTION","LEKS","35167100000"
"91491F..ZF...","ALBANIA","1996","GOVERNMENT CONSUMPTION","LEKS","31851900000"
"91491F..ZF...","ALBANIA","1990","GOVERNMENT CONSUMPTION","LEKS","1715000000"
"91491F..ZF...","ALBANIA","1989","GOVERNMENT CONSUMPTION","LEKS","1645000000"
"91491F..ZF...","ALBANIA","1988","GOVERNMENT CONSUMPTION","LEKS","1608000000"
"91491F..ZF...","ALBANIA","1987","GOVERNMENT CONSUMPTION","LEKS","1663000000"
"91491F..ZF...","ALBANIA","1986","GOVERNMENT CONSUMPTION","LEKS","1612000000"
"91491F..ZF...","ALBANIA","1985","GOVERNMENT CONSUMPTION","LEKS","1569000000"
"91491F..ZF...","ALBANIA","1984","GOVERNMENT CONSUMPTION","LEKS","1554000000"
"91491F..ZF...","ALBANIA","1983","GOVERNMENT CONSUMPTION","LEKS","1468000000"
"91491F..ZF...","ALBANIA","1982","GOVERNMENT CONSUMPTION","LEKS","1421000000"
"91491F..ZF...","ALBANIA","1981","GOVERNMENT CONSUMPTION","LEKS","1372000000"
"91491F..ZF...","ALBANIA","1980","GOVERNMENT CONSUMPTION","LEKS","1396000000"
"61291F..ZF...","ALGERIA","2007","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","1062910000000"
"61291F..ZF...","ALGERIA","2006","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","954868000000"
"61291F..ZF...","ALGERIA","2005","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","865879000000"
