Country or Area,Female,Male,Year
Algeria,11,22.8,2003
Algeria,12.5,22.5,2001
Anguilla,0.7,4.8,2001
Anguilla,1,3.3,1999
Antigua and Barbuda,1.1,4.1,2001
Antigua and Barbuda,2.5,5.3,1991
Argentina,0.6,1.5,2005
Argentina,0.9,1.4,2004
Argentina,1,1.7,2003
Argentina,0.5,1.3,2002
Argentina,0.3,1.2,2001
Argentina,0.2,1,2000
Argentina,0.2,1.1,1999
Argentina,0.2,1.1,1998
Argentina,0.2,1.1,1997
Argentina,0.2,1.1,1996
Argentina,0.4,0.8,1995
Argentina,0.2,0.6,1994
Argentina,0.3,0.5,1993
Argentina,0.3,0.4,1992
Argentina,0.1,0.5,1991
Argentina,0.2,0.5,1990
Aruba,0.3,0.6,1997
Aruba,0.1,0.1,1994
Australia,2.5,4.6,2005
Australia,2.7,4.6,2004
Australia,2.6,5,2003
Australia,3.1,5.6,2002
Australia,3.5,5.9,2001
Australia,3.5,6.1,2000
Australia,3.5,6.1,1999
Australia,3.5,6,1998
Australia,3.6,6.3,1997
Australia,3.5,6.2,1996
Australia,3.6,6,1995
Australia,3.6,6.2,1994
Australia,3.8,6.5,1993
Australia,3.8,6.4,1992
Australia,3.9,6.6,1991
Australia,4,6.7,1990
Australia,3.9,6.7,1989
Australia,4.1,7,1988
Australia,4.1,6.9,1987
Australia,4.4,7.2,1986
Australia,4.4,7.3,1985
Austria,5.6,5.5,2005
Austria,5.3,4.8,2004
Austria,5.8,5.4,2003
Austria,6,5.3,2002
Austria,6.1,5.3,2001
Austria,6.1,5.5,2000
Austria,6.8,5.6,1999
Austria,7.3,5.9,1998
Austria,7.5,6.1,1997
Austria,8.4,6.4,1996
Austria,8.5,6.6,1995
Austria,8,6.6,1994
Austria,7.8,6.2,1993
Austria,8,6.4,1992
Austria,8.5,6.6,1991
Austria,9.4,6.8,1990
Austria,9.2,7.1,1989
Austria,9.3,7.4,1988
Austria,10.1,7.7,1987
Austria,10.2,7.6,1986
Austria,10.5,8,1985
Azerbaijan,37.4,41.1,2005
Azerbaijan,38,40.9,2004
