Country or Area,Year,Female,Male
Algeria,2001,59,53.8
Algeria,2003,63.7,53.4
Anguilla,1999,83.7,53.6
Anguilla,2001,93.9,64.4
Antigua and Barbuda,1991,87.4,62.5
Antigua and Barbuda,2001,86.2,63.1
Argentina,1990,81.6,59.7
Argentina,1991,80.2,58.3
Argentina,1992,80.7,58.6
Argentina,1993,82.9,61.2
Argentina,1994,85.1,62
Argentina,1995,84.3,64.3
Argentina,1996,87.2,65.9
Argentina,1997,88,64.2
Argentina,1998,89,64.5
Argentina,1999,88.8,66.3
Argentina,2000,89.2,67.5
Argentina,2001,88.9,68.6
Argentina,2002,89.7,70.5
Argentina,2003,87.1,68.3
Argentina,2004,87.2,66.9
Argentina,2005,88,65.6
Aruba,1994,95,71.3
Aruba,1997,95.1,73.5
Australia,1985,81.4,57.2
Australia,1986,81.4,57.6
Australia,1987,82.1,58.1
Australia,1988,82.4,58.2
Australia,1989,82.7,58.2
Australia,1990,83.3,59.4
Australia,1991,83.7,61.2
Australia,1992,84.4,61.4
Australia,1993,84.2,61.4
Australia,1994,84.2,61.6
Australia,1995,85,62.5
Australia,1996,85.3,62.8
Australia,1997,85.4,63
Australia,1998,86,63.5
Australia,1999,86.3,64
Australia,2000,86,63.2
Australia,2001,86.6,64.3
Australia,2002,87.1,64.4
Australia,2003,87.5,64.8
Australia,2004,87.6,64.5
Australia,2005,87.9,64.5
Austria,1985,67.5,42.9
Austria,1986,68.2,43.5
Austria,1987,68.4,43.3
Austria,1988,69.3,43.7
Austria,1989,70.1,44.1
Austria,1990,70.2,44.3
Austria,1991,70.4,44.7
Austria,1992,71.6,46.3
Austria,1993,73,46.2
Austria,1994,74.7,49.4
Austria,1995,74.8,49.9
Austria,1996,76.3,50.8
Austria,1997,77.9,52
Austria,1998,78.3,51.8
Austria,1999,78.9,51.6
Austria,2000,79.7,51.8
Austria,2001,79.9,52.7
Austria,2002,80.8,52.3
Austria,2003,81.1,52
Austria,2004,81.3,55.5
Austria,2005,81.3,54.7
Azerbaijan,1999,44.6,48.3
Azerbaijan,2000,46.4,49.7
Azerbaijan,2001,50,48.5
Azerbaijan,2002,53.1,43.8
Azerbaijan,2003,53.5,43.8
Azerbaijan,2004,53.7,43.9
Azerbaijan,2005,54,43.7
Bahamas,1991,93.1,67.1
Bahamas,1992,93,67.1
Bahamas,1993,93.3,71.8
Bahamas,1994,92.5,71.1
Bahamas,1995,93.3,70.2
Bahamas,1996,92.7,68.9
Bahamas,1997,92.4,71.3
Bahamas,1998,93.2,69.3
Bahamas,1999,93.3,66.2
Bahamas,2001,92.2,65.5
Bahamas,2002,93.4,65.8
Bahamas,2003,93.7,68.7
Bahamas,2004,94.4,65.5
Bahamas,2005,94.3,63.5
Bahrain,1991,91.6,64
Bahrain,2001,85.2,63.5
Bangladesh,1985,20.3,26.5
Bangladesh,1986,15.9,27.6
Bangladesh,1989,2,23.9
Bangladesh,1990,2.1,25.3
Bangladesh,1996,11,33.7
Bangladesh,2000,12.1,30.3
Bangladesh,2003,23,37.9
Barbados,1985,75.6,62.7
Barbados,1986,76.1,64.4
Barbados,1987,77.1,63.7
Barbados,1988,78,62.5
Barbados,1989,67.6,55.4
Barbados,1990,69.5,55.8
Barbados,1991,72.6,60
Barbados,1992,72.5,56.9
Barbados,1993,71.7,60.7
Barbados,1994,72.3,59.1
Barbados,1995,70.8,59.6
Barbados,1996,69,57.2
Barbados,1997,73,57
Barbados,1998,70.7,56.2
Barbados,1999,73.1,56
Barbados,2000,72.6,57.4
Barbados,2001,73.3,58.2
Barbados,2002,73.7,58.8
Barbados,2003,74.7,59.5
Barbados,2004,78.2,61.8
Belgium,1985,81.8,55.4
Belgium,1986,82.2,56
Belgium,1987,82.8,56.5
Belgium,1988,79.9,56.2
Belgium,1989,80.2,55.7
Belgium,1990,80.8,56.4
Belgium,1991,82,56.5
Belgium,1992,81.1,55.9
Belgium,1993,81.1,55.8
Belgium,1994,83.6,57.9
Belgium,1995,84.4,58.9
Belgium,1996,84.6,59.6
Belgium,1997,84.7,59.6
Belgium,1998,85.7,59.9
Belgium,1999,86.7,60.2
Belgium,2000,86.9,61
Belgium,2001,86.5,61.3
Belgium,2002,86.8,62.1
Belgium,2003,87,62.7
Belgium,2004,87.1,61.9
Belgium,2005,86.4,61.9
Belize,1993,78.8,40.8
Belize,1994,79.6,43.3
Belize,1995,84,41.9
Belize,1996,83.7,40.3
Belize,1997,78.2,39.7
Belize,1998,83.3,44.1
Belize,1999,82.5,43.5
Belize,2005,85.5,49.7
Bermuda,1991,96,79.9
Bermuda,1992,96,81
Bermuda,1993,96.2,81.4
Bermuda,1994,96.4,81.8
Bermuda,1995,96.7,82
Bermuda,1996,96.8,81.5
Bolivia,1989,86.4,62
Bolivia,1990,87.3,62.8
Bolivia,1991,83.7,57.6
Bolivia,1992,81.8,54.5
Bolivia,1993,83.9,59
Bolivia,1994,83.4,57.2
Bolivia,1995,82.5,58
Bolivia,1996,80.2,54.8
Bolivia,1997,79.2,53.3
Bolivia,1999,50.9,36.6
Bolivia,2000,54.4,35.2
Bolivia,2001,50.5,34.6
Bolivia,2002,52.4,33.1
Botswana,1985,35.6,27.4
Botswana,1998,69.5,45.5
Botswana,2000,67.4,50.6
Botswana,2001,75.6,51.4
Botswana,2003,70.6,43.3
Brazil,1985,69.1,39.4
Brazil,1986,70.9,39.4
Brazil,1987,71.5,41.1
Brazil,1988,72.6,41.6
Brazil,1989,72.4,42.7
Brazil,1990,73.8,43.8
Brazil,1992,65.2,42.6
Brazil,1993,65.4,43.2
Brazil,1995,68.2,45.1
Brazil,1996,70.7,46.1
Brazil,1997,70.3,46.4
Brazil,1998,71,47
Brazil,1999,70.1,47.4
Brazil,2001,73.9,49.5
Brazil,2002,70.7,48.6
Brazil,2003,71.1,49.1
Brazil,2004,71,48.3
British Virgin Islands,1991,94.1,62.1
Brunei,1991,89.5,68.2
Brunei,2001,88.4,69.3
Bulgaria,2003,63.8,51
Bulgaria,2004,64.1,51
Bulgaria,2005,64.2,50.3
Cambodia,1993,17.8,23.4
Cambodia,1998,13.3,23.1
Cambodia,2000,15.4,20.2
Cambodia,2001,18,20.2
Cameroon,1990,22.5,25.5
Cameroon,2001,22.5,25.5
Canada,1985,83.2,59.2
Canada,1986,83.2,59.8
Canada,1987,84.7,60.2
Canada,1988,84.6,59.9
Canada,1989,84.9,59.9
Canada,1990,85.4,61
Canada,1991,86.2,62.6
Canada,1992,86.5,63.7
Canada,1993,87,63.9
Canada,1994,86.9,63.7
Canada,1995,86.6,63.6
Canada,1996,86.7,63.7
Canada,1997,87,63.6
Canada,1998,86.5,63.4
Canada,1999,86.4,63.4
Canada,2000,86.8,63.3
Canada,2001,87.3,63.9
Canada,2002,87.1,63.8
Canada,2003,87.3,64.1
Canada,2004,87.4,64.1
Canada,2005,87.9,64.2
Chad,1993,13.1,15.8
Chile,1985,84.3,49.2
Chile,1986,82.8,47.8
Chile,1987,80.5,45.8
Chile,1988,79.4,44.2
Chile,1989,78.4,43.5
Chile,1990,80.2,44.4
Chile,1991,79.2,43.8
Chile,1992,78.8,44.7
Chile,1993,77.8,45.9
Chile,1994,79.6,47.2
Chile,1995,80.1,47.8
Chile,1996,79.8,47.8
Chile,1997,81.2,47.2
Chile,1998,81.6,49.3
Chile,1999,82.8,51.8
Chile,2000,83.2,51.8
Chile,2001,82.5,52.6
Chile,2002,83.3,52.4
Chile,2003,83.4,52.6
Chile,2004,82.3,52.7
Chile,2005,82.7,53.8
Colombia,1985,77,64.5
Colombia,1986,76,65.3
Colombia,1987,76.1,63.6
Colombia,1988,75.7,63.9
Colombia,1989,75.7,64.2
Colombia,1990,74.3,63.4
Colombia,1991,73.4,64.1
Colombia,1992,73.9,62.7
Colombia,1993,73.7,62.8
Colombia,1994,74.4,62.2
