lat,long,mag,region
-3.84E+01,-6.36E+01,1.57E+10,ARGENTINA
5.05E+01,4.47E+00,1.62E+13,BELGIUM
-1.42E+01,-5.19E+01,5.79E+11,BRAZIL
3.59E+01,1.04E+02,2.11E+11,"CHINA,P.R.:HONG KONG"
5.63E+01,9.50E+00,2.64E+11,DENMARK
6.19E+01,2.57E+01,1.21E+12,FINLAND
3.91E+01,2.18E+01,9.60E+13,GREECE
6.50E+01,-1.90E+01,1.10E+10,ICELAND
2.06E+01,7.90E+01,8.24E+11,INDIA
3.10E+01,3.49E+01,7.66E+11,ISRAEL
6.05E+01,8.47E+00,2.71E+11,NORWAY
3.04E+01,6.93E+01,7.81E+10,PAKISTAN
1.35E+00,1.04E+02,1.88E+11,SINGAPORE
6.01E+01,1.86E+01,3.52E+11,SWEDEN
