Reference Area,Time Period,Units of measurement,Observation Value
Albania,2008,Number,779
Algeria,2005,Number,7331
American Samoa,2005,Number,6
American Samoa,2004,Number,9
American Samoa,2003,Number,24
American Samoa,2002,Number,5
Angola,2011,Number,2038
Argentina,2013,Number,74865.69144
Argentina,2012,Number,72322.18231
Argentina,2011,Number,69567.83
Argentina,2010,Number,65298.78486
Argentina,2009,Number,58664.6
Argentina,2008,Number,56987
Argentina,2007,Number,53187
Argentina,2006,Number,49359
Argentina,2005,Number,45361
Argentina,2004,Number,42454
Argentina,2003,Number,39393
Argentina,2002,Number,37413
Argentina,2001,Number,37444
Argentina,2000,Number,37515
Argentina,1999,Number,36939
Argentina,1998,Number,36852
Argentina,1997,Number,35974
Australia,2008,Number,137488.7
Australia,2006,Number,126701.8
Australia,2004,Number,116194.2
Australia,2002,Number,107209
Australia,2000,Number,95620.6
Australia,1998,Number,91583.4
Australia,1996,Number,90691.51
Austria,2014,Number,67134.8
Austria,2013,Number,66186.1
Austria,2012,Number,64550.4
Austria,2011,Number,61170.5
Austria,2010,Number,59923.3
Austria,2009,Number,56437.5
Austria,2008,Number,58014.4
Austria,2007,Number,53252.3
Austria,2006,Number,49377.1
Austria,2005,Number,47625.1
Austria,2004,Number,42891.3
Austria,2002,Number,38893.4
Austria,1998,Number,31307.6
Bahrain,2014,Number,562
Belgium,2014,Number,68701.1
Belgium,2013,Number,67898.5
Belgium,2012,Number,67005.495
Belgium,2011,Number,62894.678
Belgium,2010,Number,60074.572
Belgium,2009,Number,59755.895
Belgium,2008,Number,58475.733
Belgium,2007,Number,57963.29
Belgium,2006,Number,55713.75
Belgium,2005,Number,53517.097
Belgium,2004,Number,52252.684
Belgium,2003,Number,52256.468
Belgium,2002,Number,52054.36
Belgium,2001,Number,55949.102
Belgium,2000,Number,53391.406
Belgium,1999,Number,49465.781
Belgium,1998,Number,46416.275
Belgium,1997,Number,44208.374
Belgium,1996,Number,42576.411
Bolivia,2010,Number,2496.6
Bolivia,2009,Number,2305
Bolivia,2002,Number,1090
Bolivia,2001,Number,1100
Bolivia,2000,Number,770
Bolivia,1999,Number,800
Bolivia,1998,Number,790
Bosnia and Herzegovina,2014,Number,1767.3
Bosnia and Herzegovina,2013,Number,1398.7
Bosnia and Herzegovina,2012,Number,1060.3
Bosnia and Herzegovina,2007,Number,1554.088
Bosnia and Herzegovina,2006,Number,1284.027
Bosnia and Herzegovina,2005,Number,730.982
Bosnia and Herzegovina,2004,Number,687.827
