Country Name,Year,"School enrollment, primary, male (% gross)","School enrollment, primary, female (% gross)"
United Arab Emirates,1970,0,0
United Arab Emirates,1971,93.91656,64.38101
United Arab Emirates,1972,102.64079,68.2361
United Arab Emirates,1973,100.76024,73.73899
United Arab Emirates,1974,94.96389,75.59203
United Arab Emirates,1975,91.88519,76.91771
United Arab Emirates,1976,99.1653,89.29002
United Arab Emirates,1977,102.00258,96.04888
United Arab Emirates,1978,99.36172,96.09121
United Arab Emirates,1979,94.35532,93.27118
United Arab Emirates,1980,92.53267,90.45863
United Arab Emirates,1981,90.4425,86.47605
United Arab Emirates,1982,94.67406,90.49996
United Arab Emirates,1983,95.29551,90.99318
United Arab Emirates,1984,96.00035,91.63288
United Arab Emirates,1985,95.69688,91.21188
United Arab Emirates,1986,95.75512,92.79494
United Arab Emirates,1987,97.79451,93.73063
United Arab Emirates,1988,101.47641,96.25357
United Arab Emirates,1989,106.31896,100.63874
United Arab Emirates,1990,109.98462,104.63873
United Arab Emirates,1991,109.91398,105.6892
United Arab Emirates,1992,104.38485,101.25624
United Arab Emirates,1993,100.81254,99.33257
United Arab Emirates,1994,101.17438,99.45523
United Arab Emirates,1995,102.08444,99.97455
United Arab Emirates,1996,98.71231,97.39786
United Arab Emirates,1997,94.74472,92.99405
United Arab Emirates,1998,90.79261,89.90126
United Arab Emirates,1999,0,0
United Arab Emirates,2000,0,0
United Arab Emirates,2001,0,0
United Arab Emirates,2002,0,0
United Arab Emirates,2003,0,0
United Arab Emirates,2004,0,0
United Arab Emirates,2005,0,0
United Arab Emirates,2006,0,0
United Arab Emirates,2007,101.12369,102.08926
United Arab Emirates,2008,0,0
United Arab Emirates,2009,0,0
United Arab Emirates,2010,0,0
United Arab Emirates,2011,0,0
United Arab Emirates,2012,99.05749,100.89756
United Arab Emirates,2013,97.36524,100.07414
United Arab Emirates,2014,102.14638,104.061
United Arab Emirates,2015,111.4482,111.64165
United Arab Emirates,2016,110.59621,106.67191
United Arab Emirates,2017,109.43032,107.34338
United Arab Emirates,2018,0,0
Belgium,1970,0,0
Belgium,1971,109.01056,107.80264
Belgium,1972,107.83959,106.6124
Belgium,1973,100.74033,101.80352
Belgium,1974,103.64514,103.53171
Belgium,1975,104.04535,103.67131
Belgium,1976,104.85562,104.50322
Belgium,1977,105.29582,104.62349
Belgium,1978,105.13108,104.45675
Belgium,1979,104.10623,104.04608
Belgium,1980,104.26874,103.79934
Belgium,1981,103.66424,103.29004
Belgium,1982,102.95121,102.72443
Belgium,1983,99.42584,100.00812
Belgium,1984,98.43192,99.36458
Belgium,1985,97.76149,98.81594
